"","id","challenge_1","challenge_2","challenge_3","challenge_4","challenge_5","att_challenge_1","att_challenge_2","att_challenge_3","att_challenge_4","att_challenge_5","criticism_1","criticism_2","criticism_3","criticism_4","criticism_5","att_criticism_1","att_criticism_2","att_criticism_3","att_criticism_4","att_criticism_5"
"1","r_3ql5xkhrsfmgrv0","erö","megfelelés","önismeret","kényszer","gyözelem",5,2,5,3,4,"rosszindulat","átgondolás","önismeret","elöadásforma","tapintat",1,5,5,3,5
"2","r_23nclpvx4sb9dgt","érdekes","nem unalmas","változatosság","nehézségek","siker",5,5,5,2,5,"visszajelzés","ötletek","félelem","értékelés","más szemlélet",5,5,1,3,4
"3","r_20tex6wnivnd9zc","kaland","móka","energia","fárasztó","ismeret",5,5,5,2,4,"előbbrevitel","támogató","őszinte","gonosz","lehúzó",5,5,5,1,1
"4","r_2caxnyvxc1zwa8i","munka","fáradság","fejlődés","nehézség","kitartás",2,2,4,2,4,"építő","romboló","visszatartó","mindenki","viszolygás",4,1,2,2,1
"5","r_25zlqt1cvltwqgj","adrenalin","stressz","fejlodes","presztizs","jutalom",4,2,4,5,5,"fejlodes","epules","tamadas","javulas","folyamat",5,5,1,4,3
"6","r_old88k73xjcl6lh","feladat","fejlődés","lehetőség","mérce","idegesség",3,5,5,2,1,"ijedtség","fejlődés","düh","megfontolás","javítás",2,4,1,5,5
"7","r_3r95hvf7ojpatli","fejlődés","akadály","ugrás","feladat","growth mindset",5,3,4,3,5,"építő","feedback","rosszindulatú","tanulás","fejlődés",5,5,1,5,5
"8","r_1dnwjwsgjgosfth","verseny","cél","előrelépés","gondolkozni","csinálni",5,5,5,4,5,"rossz","jó","fejlődési lehetőség","javítás","összeomlás",1,5,5,4,1
"9","r_agvnfpmowfwtdkt","időbeosztás","pénzügy","öröm","határidő","akadály",2,1,5,2,4,"lelkiismeret","teljesítmény","munka","tanulság","mentor",2,4,3,5,5
"10","r_1f3lpucaahmh10s","lehetőseg","előrelépés","önállóság","izgalom","segítség",5,5,5,4,4,"család","társadalom","változás","kitartás","erő",5,3,4,5,5
"11","r_uwqo4ummwsfjisj","probatetel","elegseges","teljesites","megprobaltatas","siker",4,4,4,4,5,"epito","fejleszto","vitriol","elvorosodes","hallgatas",4,4,1,2,4
"12","r_wxpewduiipc9fvv","újdonság","ismeretlen","lehetőség","kalandvágy","nehézség",4,3,5,5,2,"tanulás","visszajelzés","elgondolkodtató","kellemetlen","bántó",5,4,4,2,1
"13","r_1jwhbl7k275soaw","feladat","lehetőség","munka","próba","fejlődés",3,5,4,3,5,"őszinte","értékelés","negatív","pozitív","vélemény",4,3,1,4,3
"14","r_1jv5oanh1wtmxnq","kaland","energia","növekedés","élet","elte",5,5,5,4,4,"vélemény","gondolat","ötlet","építő","romboló",3,4,5,5,1
"15","r_3mmwwrvv279uwkx","félelem","izgalom","vezetés","komfortzóna","pánikzóna",1,4,2,3,1,"konstruktív","építő","negatív","konfliktus","fejlődés",5,5,1,3,5
"16","r_3szdtb5rx14ovng","lehetőség","feladat","nehézség","küzdelem","izgalom",5,3,2,2,5,"építő","fejlődés","negatív","belekötés","bírálat",5,5,1,1,2
"17","r_1nyoiuby364kqqv","fejlödés","eredmény","munka","küzdés","cél",5,5,4,3,4,"önkritika","udvariasság","kritikus gondolkozás","piszkálódás","film",3,5,5,2,3
"18","r_31abpqhafgraqjt","eredmény","fejlődés","lehetőség","kompetencia","bizonyítás",4,5,4,5,2,"hiba","elutasítottság","szerethetetlenség","megsemmisülés","szociális izoláció",1,1,1,1,1
"19","r_2uwza3zfh2aksi4","merni","ijesztő","munka","fejlődés","erő",4,3,5,5,3,"vita","védekezés","építő","lehúzó","tanulás",2,1,5,1,5
"20","r_25yywtdjy72dtwm","elhivatottság","cél","kitartás","problémák","félelem",4,5,4,2,2,"film","hivatás","érzék","nyomás","megfelelés",3,4,4,2,3
"21","r_2vikpep6va6qti9","megmérettetés","vágyakozás","versengés","elhivatottság","siker",5,4,3,5,5,"hasznos","fejlődés","szemléletváltás","segítség","építő",5,5,4,4,5
"22","r_3rthrgsjcpabhde","nehézség","teljesítés","kaland","kudarc","eredmény",2,3,5,1,3,"fájdalom","félelem","nehézség","éles","kudarc",1,1,2,1,1
"23","r_3qvvvittiprzf9c","teljesítmény","feladat","ügyesség","izgalom","flow",5,5,5,5,5,"gondolkodás","szemlélet","anya","szorongás","teljesítés",5,5,2,2,2
"24","r_1gdrxdycc7uvan0","siker","munka","gyereknevelés","verseny","érdekes",5,4,4,4,5,"építő","szükséges","fejlődés","jogos","kitől",4,4,5,4,3
"25","r_5o3qodf30tzwkqt","jutalom","tehetség","kreativitás","öröm","cél",5,5,5,5,5,"téves","gyors","sztereotípia","segítség","fejlődés",2,2,2,5,5
"26","r_2wtcjlnku298enb","lehetőség","kockáztatás","bátorság","ismeretlen","kaland",5,2,5,3,4,"önbecsülés","visszajelzés","hiba","javítás","vélemény",5,3,2,4,3
"27","r_2xdr4n3kh38vdk2","teljesítmény","adrenalin","bizonytalanság","feladat","ambivalencia",2,5,1,2,2,"környezet","önreflexió","értékelés","elbizonytalanodás","lelombozás",5,5,4,1,1
"28","r_yydjyxexznbzwml","küzdelem","nehézség","fejtörés","erőfeszítés","verseny",3,1,2,2,3,"rossz","negatív","nem tetszés","véleményezés","építő jelleg",1,1,1,3,5
"29","r_3ir1sno2udd21ir","erő","önbizalom","akaraterő","izgalom","várakozás",5,5,5,3,3,"fájó","hasznos","érdekes","elgondolkodtató","szükséges",1,5,3,3,3
"30","r_2cnccxxqjtfahbq","nehézség","kitartás","sikerélmény","kudarc","élet",4,5,5,1,4,"konstruktív","ítélkező","segítség","rosszindulatú","fejlődés",5,1,5,1,5
"31","r_uzi87zpnvrgbflj","fejlődés","nehézség","újdonság","megmèrettetès","párbaj",5,3,4,4,3,"tanács","megvetés","visszajelzés","vélemény","sértés",5,1,4,4,1
"32","r_1c3ld5yonjeg2d8","cél","munka","energia","eltökéltség","megoldás",4,4,5,5,5,"őszinte","megbotránkoztató","építő","jellegzetes","profi",5,2,5,5,5
"33","r_5su9sb0r1nvtkiz","munka","gondolkodás","eredmény","mérce","siker",3,4,5,3,5,"pozitív","negatív","építő","romboló","csúfolódás",5,1,5,1,1
"34","r_pzvoacfsh8jxvxl","bizonyítás","élmény","nehézség","versengés","feladat",5,5,2,4,4,"tanár","filmkritika","cinikus megjegyzés","intelligencia","negatívum",3,4,1,5,1
"35","r_3genhotqsehtluw","pozitivitas","kreativitas","új dolgok","motiváció","siker",5,5,4,4,5,"negatív","pozitív","építő jellegű","gonoszság","irigység",1,5,5,1,1
"36","r_ulmvzgtdpb0bsrx","elszántság","kitartás","tapasztalat","idő","küzdeni",5,5,5,3,4,"negatív","pozitiv","tehetség","művészet","befolyásolás",1,5,3,3,2
"37","r_3ikft8jlyh9sf00","utazás","megfelelés","aláírás","jövedelem","célok",5,4,1,4,5,"párkapcsolat","család","barátok","idegenek","önmagam",5,4,3,1,4
"38","r_1jltyi6u5kfrytt","cél","kitartás","élmény","pozitivitás","erö",5,5,3,5,5,"megfelelés","sztereotípia","kényszer","vélemény","változás",2,2,1,3,3
"39","r_vrfgx9pk3tx4dfd","tanulás","cél","erőfeszítés","eredmény","kitartás",4,4,3,5,5,"vélemény","kritizálás","dícséret","romboló","építő",3,1,5,1,5
"40","r_sbxx9gxiijzfi1x","feladat","erőpróba","cél","motiváció","fejlődés",4,5,5,5,5,"vélemény","észrevételek","benyomás","megítélés","bírálat",3,3,3,3,3
"41","r_2tnhczahpdhlypf","feladat","kitartás","siker","próbálkozás","izgalom",3,5,5,3,4,"hiba","javítás","építő","kéretlen","munka",1,4,5,1,3
"42","r_4je2elrjncwh6m1","egyetem","kollegium","tanulas","bionika","oktatok",2,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","r_2v35tsmipx04xpv","h","h","h","h","h",3,3,3,3,3,"ez","k","a","t","a",1,2,3,3,4
"44","r_50bhhutd64kt1uh","nehézség","újdonság","fejlődés","érdekesség","munka",2,4,5,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","r_apxfqydes0m9zl7","lehetőség","képesség","feladás","probléma","megoldás",5,5,1,3,3,"negatív","őszinteség","pozitív","változtatás","hiba",1,5,5,4,3
"46","r_1d1cegj0aeuvx84","verseny","kudarc","siker","erő","hegy",4,4,4,4,4,"negatív","vélemény","fejlesztés","lenézés","félelem",1,3,NA,2,1
"47","r_1lt0pg3qeldydtn","feladat","teljesítmény","siker","megmérettetés","stressz",4,4,5,3,1,"hiba","hiányosság","sértés","javítási lehetőség","elvárás",1,3,1,5,3
"48","r_1fjjaazyqrlv2sc","challenge","versenyzés","ellenfelek","feladat","nehéz",4,2,2,4,2,"vélemény","építő jelleg","féltékenység","irigység","tanulni belőle",3,4,2,1,4
"49","r_1m3pzjaevckaxlo","nehezseg","feladat","munka","élmény","akarat",3,3,3,3,3,"építő","rossz","jó","munka","feladat",3,3,3,3,3
"50","r_3k7dwazo8avso8x","akadályok","új lehetőség","megugrás","harc","küzdelem",3,4,4,2,3,"fejlődés","vélemény","határozottság","negatív","becsmérlés",5,3,4,1,2
"51","r_3ehueyrx4hrvyxg","tanulás","idő","nehézség","újdonság","elfoglalt",4,2,2,4,1,"dícséret","szidalmazás","ösztönzés","javítás","fejlesztés",5,1,5,5,5
"52","r_qovsyl4bn6n6bo5","munka","videojáték","élet","házasság","egzisztencia",2,4,3,2,2,"barátok","munkahely","társadalom","család","filmek",2,4,1,4,4
"53","r_2eaqoe8jsbr2kwk","erősít","lehetőség","uj perspektíva","kétélű penge","pozitív",4,5,4,3,5,"konstruktív","asszertiv","fejlesztő","jobbnak lenni","jóindulatú",4,4,4,4,4
"54","r_25sfs8avonrxz4i","verseny","nehéz","mosoly","csapat","jövő",3,2,4,4,3,"negatív","tudományos","újság","férfi","akadály",2,4,5,4,2
"55","r_3qkeqppohj1s2hu","büszkeség","nehéz","próba","bizonyítás","haladás",5,4,4,4,5,"fáj","tanulás","makacs","fejlődés","haladás",1,4,2,5,5
"56","r_29vmx3qpjv0xkht","verseny","izgalom","próba","nemmindenapi","újdonság",3,4,3,4,4,"próba","rossz","jó","igyekvés","tűrés",4,2,4,4,4
"57","r_2uvygrxcde4kuxd","elbukás","szenvedés","pánikroham","rosszullét","sírás",1,1,1,1,1,"fájdalom","önbizalomesés","emlékeztető","elkeseredettség","önutálat",1,1,4,2,1
"58","r_rdltxyey3fxokwf","lehetőség","siker","újdonság","ismeretlen","megpróbáltatás",5,5,3,2,4,"építő","bátorító","negatív","pozitív","hiba",5,5,1,5,2
"59","r_3ehuj12vxhdbr17","nehéz","rewarding","kimozdít","szorongás","fejlődés",2,5,4,1,5,"negatív","építő","nehéz","kell","jég",1,5,2,3,2
"60","r_3le8leavdi0clla","sport","kűzdelem","verseny","siker","önismeret",3,4,5,5,5,"bírálat","hírnév","önbecsülés","szabadság","szégyen",2,3,4,4,2
"61","r_1nxjjoeji5xboal","feladat","erő","kitartás","kreativitás","idő",3,5,5,5,2,"negatív","könyv","kultúra","vélemény","írás",1,3,5,4,3
"62","r_rvtpxfw2b7gxcdr","eredmény","nehézség","fejlődés","kudarc","elszántság",5,2,5,1,5,"sértettség","fejlődés","javítás","haladás","koncentrálás",1,5,5,5,4
"63","r_1fziisortfqjni3","doga","vizsga","élet","munka","szerelem",2,1,4,3,4,"építő","ítélkezés","film","család","kritikus",5,1,4,4,3
"64","r_1r6xz9tagk34yrf","versengés","törekvés","teljesítés","versenyszellem","maximalizmus",4,4,5,4,5,"negatívum","pozitívum","sértődöttség","támadás","fejlődés",1,5,2,1,4
"65","r_xejigjpnjykaeat","nehéz","erő","akadály","próba","előrelépés",3,5,3,4,5,"előítélet","igazság","meggondolatlanság","példa","segítség",1,5,1,5,5
"66","r_2v2u3oatbrssfuc","túlélni","megmaradni","anal1","algo1","jocó",2,2,5,5,5,"orbán","hök","puzsér","hazugság","kampány",1,3,3,1,2
"67","r_3kvk4hjral0xsxh","nehéz","lehetőség","alkalmas","motiváció","erőfeszítés",1,4,4,5,5,"hiba","megalázás","probléma","segítség","kötekedés",1,1,2,5,1
"68","r_1exhdkozxtd4yy9","tanulmány","teljesítési vágy","sport","erőfeszítés","cél",4,4,4,2,5,"építő jelleg","megalázás","teljesítmény","munka","vélemény",5,1,3,3,3
"69","r_d4imzm7cua8cam5","lehetőség","cél","kudarc","akarat","szorgalom",4,3,1,4,4,"vélemény","segítség","fejlődés","jóindulat","jellemzés",3,4,5,5,3
"70","r_30pwnmhrau6nqpt","rajz","labor","alkotni","sport","torta",5,4,5,4,5,"kesztyű","mosogató","szülők","tanár","főzés",3,2,2,2,2
"71","r_1qans2r1pyki7hm","mindennapok","egyetem","munka","időbeosztás","pénzszerzés",5,3,3,3,3,"vélemény","fejlődés","sértő","hasznos","több nézőpont",4,5,1,5,5
"72","r_1qv66yuseqqix34","siker","küzdés","nehézség","erő","boldogság",5,5,3,5,5,"pozitív","negatív","bántó","teljesítés","fejlődés",5,1,1,4,5
"73","r_26nkpirh0bjnrm8","nehéz","megéri","fejlődés","bátorság","eredmény",4,5,5,4,5,"építő","nyomás","fájdalmas","nehéz","fejlődés",4,1,2,2,5
"74","r_1dhyuba6ymvkvy6","építő","nehézség","élet","kitartás","verseny",5,4,5,5,4,"pozitív","negatív","építő","romboló","baráti",5,1,5,1,5
"75","r_2xchskbxtbomzrr","kaland","élmény","tudás","próbatétel","siker",4,4,5,2,5,"bántás","félelem","kötekedés","tanulás","értékelés",1,1,1,4,4
"76","r_1gtwliktcgpk4a4","életem","siker","szeretem","bizonyiték","sok",4,5,5,5,2,"irodalom","írás","én","mások","építő",5,5,3,2,5
"77","r_4otavcbspbb4x3b","próba","eredmény","lehetőség","megoldás","életesemény",1,4,4,4,5,"probléma","tulajdonság","hibázás","vélemény","építkezés",1,1,1,4,5
"78","r_1oostqkhdf8gsmr","feladat","siker","gondolkodás","folyamat","bizonyítási lehetőség",5,5,3,3,4,"motiváció","önbecsülés","énkép","értékek","bosszúvágy",5,5,5,5,1
"79","r_2wttq3ue56ptqec","gyerekek","új feladat","szembeszegülés","egyetem","óvoda",5,5,2,5,5,"egyetem","tanárok","apa","szemléletváltás","segítés",4,3,5,5,5
"80","r_33byin42memc5b6","probléma","nehéz","megoldás","próbálkozás","siker",3,3,4,3,5,"vélemény","negatív","építő jellegű","értékelés","érzések",3,1,5,3,3
"81","r_1fcqebbsgmsv3tq","cél","teljesítmény","erő","akarat","siker",4,4,3,4,5,"segítség","megbántás","szigorú","vélemény","elfogadás",5,1,2,3,5
"82","r_2ehfk6qhihu9h3e","motiváció","cél","feladat","korlátok","határok",5,5,3,4,4,"vélemény","pozitív","negatív","fájdalom","igazságtalanság",4,5,4,1,1
"83","r_1nqpbjsgsra8axh","küzdelem","feladat","izgalom","nehézség","harc",5,3,5,2,4,"építő","segítség","értékelés","rossz","vélemény",5,5,4,1,3
"84","r_2ssdj9tulhpuxsu","új szituáció","erőfeszítés","új","tudás invesztálás","próba",NA,5,4,5,4,"visszajelzés","szeretettel","előremutató","pozitív v negatív","tudás átadás",4,5,4,3,5
"85","r_33srjp19th8wgpq","erő","nehézség","akadály","motiváció","nekifutás",5,4,4,5,5,"változtatni","változni","átgondolni","megpróbálni","stop",5,5,5,5,4
"86","r_1hyapgehjjyyurr","ambició","erő","félelem","megmozgat","ijesztő",5,4,2,4,1,"építő","bántó","kötekedő","ijesztő","félelmetes",4,2,2,1,1
"87","r_0ums9bpcfsuizdf","ügyesség","edzés","intelligencia","tanulás","élet",4,5,5,4,4,"média","politika","újság","civil","film",3,2,3,5,5
"88","r_3fojy0urre5bsy3","kaland","nehéz","munka","gürcölés","feladat",4,2,1,1,3,"építő","romboló","szégyen","fejlődés","rosszindulat",4,1,1,4,1
"89","r_2ojhye0ixqji9lh","motiváció","fejlődés","siker","stressz","támogatás",5,5,5,2,4,"építő","rosszindulatú","makacsság","változás","önbizalom",4,2,4,3,4
"90","r_5tnabehwnfqrorx","felkészülés","teljesítés","küzdelem","akaraterő","nehézség",3,4,4,5,3,"konstruktív","építő","tanulás","bántás","pontszám",5,5,5,1,2
"91","r_1f1vsiqjiakwiqr","versenyszellem","új lehetőség","stressz","önbizalom","időhiány",4,5,2,5,1,"elvárás","félelem","jutalom","büszkeség","fejlesztés",3,2,4,5,5
"92","r_1p5xp6vqelvz8bq","motiváció","próbatétel","megmérkőzés","verseny","teljesítés",5,5,4,4,5,"pozitív kritika","negatív kritika","segítőszándék","kritizálás","előrelépés",5,1,5,1,5
"93","r_12y86f4vfi5a9u9","feladat","újdonság","megmérettetés","próba","tanulás",3,4,3,3,3,"színház","film","mozi","újság","negatív",5,5,5,5,1
"94","r_3d0gsurl8htncef","izgalom","nehézség","igyekezet","küzdelem","komfortzóna",3,2,4,5,4,"építő","negatív","tanulság","vélemény","lecke",5,1,4,4,5
"95","r_08rnd1rcrmykj3h","feladat","kitartás","megpróbáltatás","bizonyítás","akarat",3,4,3,4,4,"bíráskodás","visszajelzés","értékelés","minősítés","pontozás",3,4,4,3,3
"96","r_3hsbixyggnsrnlf","hajrá","gyerünk","lehetséges","tehetség","tett vàgy",5,5,4,5,5,"jó","hasznos","figyelem","hagyni","biztatás",5,5,5,3,5
"97","r_ussrg7fkqske8cv","nehéz","győzelem","siker","kitartás","kudarc",3,4,5,4,1,"hiba","negatív","építő","javít","tanács",2,1,5,4,4
"98","r_3oxc4hh5eb5ettq","feladat","kaland","motiváció","komfortzóna","tanulság",3,4,5,4,5,"gondolkodás","értelmezés","ítélkezés","építő","látásmód",5,5,2,5,3
"99","r_1klhlmiuoa171zi","problémás","lehetőség","fejlődés","elakadás","vállalkozás",2,4,5,2,3,"pozitív","építő","visszajelzés","változó","rossz",5,5,3,3,NA
"100","r_3dficufd5k1qhmg","teher","izgalom","csalódás","öröm","jutalom",2,4,2,5,5,"negatív","csalódás","rossz","fejlődés","teher",1,1,1,5,1
"101","r_20pzgb6keb05l5k","siker","akadályok","bátorság","kitartás","fejlődés",5,2,4,5,5,"társadalom","újságírás","zsűri","vélemény","építő",3,3,3,3,5
"102","r_31t9kp7jpcuyboo","fizkém","egyetem","tanulás-meló-élet szentháromság","100%-os teljesítmény","fáradtság leküzdése",1,4,2,5,3,"őszinteség","személyiségfejlődés","fájdalom","megalázottság","igaz barátság",5,4,1,1,4
"103","r_31yn6lupyirurlh","nehéz","küzdelem","kitartás","feladni","játék",2,4,5,1,3,"düh","komment","emberek","beszéd","internet",1,2,3,3,4
"104","r_2c7oe5ucddph7wv","nehéz","kitartás","idő","hit","önbizalom",2,5,2,5,5,"vélemény","tanár","jegy","visszajelzes","tanulság",2,3,2,3,4
"105","r_6mdpscntugn6rg9","nehéz","kudarc","verseny","nyereség","boldogság",2,1,3,5,5,"bántó","negatív","építő","segíthet","elvárás",1,1,5,5,3
"106","r_t1sslufesaxmup7","kredit","vizsga","siker","kudarc","ösztönzés",3,3,5,1,4,"önbizalomhiány","tanár","ítélkezés","építőjellegű","gúny",2,4,2,4,1
"107","r_1jnfdnvtiotolrh","esély","ösztönzés","verseny","fejlődés","megmérettetés",5,5,3,5,3,"fejlődés","lehetőség","vélemény","segítség","értékelés",5,5,3,5,3
