"","id","challenge_1","challenge_2","challenge_3","challenge_4","challenge_5","att_challenge_1","att_challenge_2","att_challenge_3","att_challenge_4","att_challenge_5","failure_1","failure_2","failure_3","failure_4","failure_5","att_failure_1","att_failure_2","att_failure_3","att_failure_4","att_failure_5","criticism_1","criticism_2","criticism_3","criticism_4","criticism_5","att_criticism_1","att_criticism_2","att_criticism_3","att_criticism_4","att_criticism_5"
"3","R_3qL5xKhrsFmgrv0","Erö","Megfelelés","Önismeret","Kényszer","Gyözelem","pozitív","inkább negatív","pozitív","semleges","inkább pozitív","Ujrakezdés","Akarat","Felépités","Nehéz helyzet","Összeomlás","pozitív","pozitív","inkább pozitív","semleges","inkább negatív","Rosszindulat","Átgondolás","Önismeret","Elöadásforma","Tapintat","negatív","pozitív","pozitív","semleges","pozitív"
"4","R_23NCLpvx4SB9Dgt","Érdekes","Nem unalmas","Változatosság","Nehézségek","Siker","pozitív","pozitív","pozitív","inkább negatív","pozitív","Csalódás","Sikertelenség","Új lehetőségek","Valami vége","Rossz","negatív","negatív","inkább pozitív","semleges","negatív","Visszajelzés","Ötletek ","Félelem","Értékelés","Más szemlélet","pozitív","pozitív","negatív","semleges","inkább pozitív"
"5","R_20TEX6WniVnD9zC","Kaland","Móka","Energia","Fárasztó","Ismeret","pozitív","pozitív","pozitív","inkább negatív","inkább pozitív","Veszteség","Sikertelenség","Esélytelenség","Próba","Szomorú","negatív","negatív","negatív","inkább pozitív","negatív","Előbbrevitel","Támogató","Őszinte","Gonosz","Lehúzó","pozitív","pozitív","pozitív","negatív","negatív"
"6","R_2cAxNYVxc1ZwA8I","Munka","Fáradság","Fejlődés","Nehézség","Kitartás","inkább negatív","inkább negatív","inkább pozitív","inkább negatív","inkább pozitív","Szégyen","Önbizalomvesztés","Bánat","Harag","Motiváltság","negatív","negatív","negatív","negatív","inkább pozitív","Építő","Romboló","Visszatartó","Mindenki","Viszolygás","inkább pozitív","negatív","inkább negatív","inkább negatív","negatív"
"7","R_1pXOz1BGjvPxY7x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","R_2ExVEZr8qlu55Rw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","R_1CDyTH4jP9xVUEK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","R_25ZLqt1cvLTwQGJ","adrenalin","stressz","fejlodes","presztizs","jutalom","inkább pozitív","inkább negatív","inkább pozitív","pozitív","pozitív","fajdalom","szegyen","tanulas","fejlodes","lehetoseg","negatív","negatív","inkább pozitív","pozitív","inkább pozitív","fejlodes","epules","tamadas","javulas","folyamat","pozitív","pozitív","negatív","inkább pozitív","semleges"
"11","R_OlD88K73xJCL6lH","feladat","fejlődés","lehetőség","mérce","idegesség","semleges","pozitív","pozitív","inkább negatív","negatív","csalódás","önértékelés","depresszió","lehetőség","továbblépés","negatív","semleges","negatív","inkább pozitív","pozitív","ijedtség","fejlődés","düh","megfontolás","javítás","inkább negatív","inkább pozitív","negatív","pozitív","pozitív"
"12","R_3R95hvf7ojPATLI","fejlődés","akadály","ugrás","feladat","growth mindset","pozitív","semleges","inkább pozitív","semleges","pozitív","szomorú","kevés","béna","rossz","bukás","negatív","negatív","negatív","negatív","negatív","építő","feedback","rosszindulatú","tanulás","fejlődés","pozitív","pozitív","negatív","pozitív","pozitív"
"13","R_1DnwJWSGjGoSFTH","Verseny","Cél","Előrelépés","Gondolkozni","Csinálni","pozitív","pozitív","pozitív","inkább pozitív","pozitív","Veszteség","Bukás","Felállás","Előrekezdés","Győzni","inkább negatív","negatív","pozitív","pozitív","pozitív","Rossz","Jó ","Fejlődési lehetőség ","Javítás","Összeomlás","negatív","pozitív","pozitív","inkább pozitív","negatív"
"14","R_216QsdURosDKjUW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","R_AgvnfPmOwfwtdkt","Időbeosztás","Pénzügy","Öröm","Határidő","Akadály","inkább negatív","negatív","pozitív","inkább negatív","inkább pozitív","Káröröm","Bukás","Pénzügy","Feladás","Továbbhaladás","negatív","negatív","inkább negatív","semleges","pozitív","Lelkiismeret","Teljesítmény","Munka","Tanulság","Mentor","inkább negatív","inkább pozitív","semleges","pozitív","pozitív"
"16","R_1f3lpuCAAhMh10S","Lehetőseg","Előrelépés","Önállóság","Izgalom","Segítség","pozitív","pozitív","pozitív","inkább pozitív","inkább pozitív","Lehetőség","Gyakorlás","Támasz","Újra","Váltás","pozitív","pozitív","pozitív","pozitív","inkább pozitív","Család","Társadalom","Változás","Kitartás","Erő","pozitív","semleges","inkább pozitív","pozitív","pozitív"
"17","R_UWQo4uMMwsfjiSJ","Probatetel","Elegseges","Teljesites","Megprobaltatas","Siker","inkább pozitív","inkább pozitív","inkább pozitív","inkább pozitív","pozitív","Sikertelenseg","Szomorusag","Meghasonlas","Megallas","Onreflexio","negatív","inkább negatív","semleges","semleges","pozitív","Epito","Fejleszto","Vitriol","Elvorosodes","Hallgatas","inkább pozitív","inkább pozitív","negatív","inkább negatív","inkább pozitív"
"18","R_WxPewDuiiPC9fVv","Újdonság","Ismeretlen","Lehetőség ","Kalandvágy","Nehézség","inkább pozitív","semleges","pozitív","pozitív","inkább negatív","Szomorúság","Sikertelenség","Újratervezés","Újrakezdés","Kitartás","negatív","negatív","inkább pozitív","pozitív","pozitív","Tanulás","Visszajelzés","Elgondolkodtató ","Kellemetlen","Bántó","pozitív","inkább pozitív","inkább pozitív","inkább negatív","negatív"
"19","R_1jWhBl7K275soaW","Feladat ","Lehetőség ","Munka ","Próba ","Fejlődés ","semleges","pozitív","inkább pozitív","semleges","pozitív","Elkeseredettség ","Próba ","Sikertelenség ","Szomorúság ","Fejlődés ","negatív","semleges","negatív","negatív","inkább pozitív","Őszinte ","Értékelés ","Negatív ","Pozitív ","Vélemény ","inkább pozitív","semleges","negatív","inkább pozitív","semleges"
"20","R_1jv5oaNH1wTmxNQ","kaland","energia","növekedés","élet","elte","pozitív","pozitív","pozitív","inkább pozitív","inkább pozitív","fájdalom","sírás","akadály","elbukás","nehézség","negatív","negatív","inkább negatív","negatív","inkább negatív","vélemény","gondolat","ötlet","építő","romboló","semleges","inkább pozitív","pozitív","pozitív","negatív"
"21","R_3MmWWrVv279UWKX","félelem","izgalom","vezetés","komfortzóna","pánikzóna","negatív","inkább pozitív","inkább negatív","semleges","negatív","fájdalom","nehézség","újrakezdés","lehetőség","mélypont","negatív","inkább negatív","pozitív","pozitív","negatív","konstruktív","építő","negatív","konfliktus","fejlődés","pozitív","pozitív","negatív","semleges","pozitív"
"22","R_3szdtb5rx14OvNG","lehetőség","feladat","nehézség","küzdelem","izgalom","pozitív","semleges","inkább negatív","inkább negatív","pozitív","szégyen","bukás","hiba","veszteség","esély","negatív","negatív","inkább negatív","inkább negatív","pozitív","építő","fejlődés","negatív","belekötés","bírálat","pozitív","pozitív","negatív","negatív","inkább negatív"
"23","R_1NyOiUbY364KQQV","fejlödés","eredmény","munka","küzdés","cél","pozitív","pozitív","inkább pozitív","semleges","inkább pozitív","rossz","Eredménytelen","Csalódás","Újrapróbálkozás","Segítség","negatív","negatív","negatív","inkább pozitív","inkább pozitív","önkritika","udvariasság","kritikus gondolkozás","piszkálódás","film","semleges","pozitív","pozitív","inkább negatív","semleges"
"24","R_31ABpqHafGrAQJT","Eredmény","Fejlődés","Lehetőség","Kompetencia","Bizonyítás","inkább pozitív","pozitív","inkább pozitív","pozitív","inkább negatív","Értéktelenség","Büntetés","Szégyen","Fájdalom","Kitartás","negatív","negatív","negatív","negatív","pozitív","Hiba","Elutasítottság","Szerethetetlenség","Megsemmisülés","Szociális izoláció","negatív","negatív","negatív","negatív","negatív"
"25","R_2uwZa3ZFH2AKsI4","merni","ijesztő","munka","fejlődés","erő","inkább pozitív","semleges","pozitív","pozitív","semleges","bukás","feladás","veszíteni","felállni","tanulni","negatív","negatív","inkább negatív","pozitív","pozitív","vita","védekezés","építő","lehúzó","tanulás","inkább negatív","negatív","pozitív","negatív","pozitív"
"26","R_25yYwTDJy72DTwM","Elhivatottság","Cél","Kitartás","Problémák","Félelem","inkább pozitív","pozitív","inkább pozitív","inkább negatív","inkább negatív","Sokk","Elbukás","Szégyen","Nyomás","Stop","negatív","negatív","negatív","negatív","semleges","Film","Hivatás","Érzék","Nyomás","Megfelelés","semleges","inkább pozitív","inkább pozitív","inkább negatív","semleges"
"27","R_0vxPxcWNcRqyM0N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28","R_2VIKpEp6va6QTi9","Megmérettetés","Vágyakozás","Versengés","Elhivatottság","Siker","pozitív","inkább pozitív","semleges","pozitív","pozitív","Csalódottság","Sebezhetőség","Kezdet","Ihlet","Tapasztalat","inkább negatív","semleges","pozitív","inkább pozitív","pozitív","Hasznos","Fejlődés","Szemléletváltás","Segítség","Építő","pozitív","pozitív","inkább pozitív","inkább pozitív","pozitív"
"29","R_3rThrgSJcPaBHdE","Nehézség","Teljesítés","Kaland","Kudarc","Eredmény","inkább negatív","semleges","pozitív","negatív","semleges","Bukás","Talpraállás","Újratervezés","Bukta","Csalódás","negatív","pozitív","inkább pozitív","negatív","negatív","Fájdalom","Félelem","Nehézség","Éles","Kudarc","negatív","negatív","inkább negatív","negatív","negatív"
"30","R_3qVVVITtIpRZf9C","Teljesítmény ","Feladat","Ügyesség ","Izgalom","Flow","pozitív","pozitív","pozitív","pozitív","pozitív","Siker","Külföld ","Én erő ","Újrakezdés ","Félelem ","pozitív","inkább negatív","inkább pozitív","inkább negatív","inkább negatív","Gondolkodás ","Szemlélet ","Anya","Szorongás ","Teljesítés ","pozitív","pozitív","inkább negatív","inkább negatív","inkább negatív"
"31","R_1gdrxdycC7uVAN0","Siker ","Munka ","Gyereknevelés ","Verseny ","Érdekes ","pozitív","inkább pozitív","inkább pozitív","inkább pozitív","pozitív","Veszteség ","Bukás ","Sikertelenség ","Hibázás ","Szomorúság ","negatív","negatív","inkább negatív","semleges","semleges","Építő ","Szükséges ","Fejlődés ","Jogos ","Kitől","inkább pozitív","inkább pozitív","pozitív","inkább pozitív","semleges"
"32","R_5o3QodF30tzWKqt","jutalom","tehetség","kreativitás","öröm","cél","pozitív","pozitív","pozitív","pozitív","pozitív","nehézség","könnyek","tanulság","szenvedés","siker","inkább negatív","negatív","inkább pozitív","negatív","pozitív","téves","gyors","sztereotípia","segítség","fejlődés","inkább negatív","inkább negatív","inkább negatív","pozitív","pozitív"
"33","R_2WTCJLNkU298ENB","Lehetőség","Kockáztatás","Bátorság","Ismeretlen","Kaland","pozitív","inkább negatív","pozitív","semleges","inkább pozitív","Bme","Fájdalom","Szenvedés","Szégyen","Sikertelenség","inkább negatív","inkább negatív","negatív","negatív","inkább negatív","Önbecsülés","Visszajelzés","Hiba","Javítás","Vélemény","pozitív","semleges","inkább negatív","inkább pozitív","semleges"
"34","R_2Xdr4N3kH38vDK2","teljesítmény","adrenalin","bizonytalanság","feladat","ambivalencia ","inkább negatív","pozitív","negatív","inkább negatív","inkább negatív","teljesítmény","meg nem felelés","szomorúság","vélemény","óra","inkább negatív","negatív","negatív","inkább negatív","semleges","környezet","önreflexió","értékelés","elbizonytalanodás","lelombozás","pozitív","pozitív","inkább pozitív","negatív","negatív"
"35","R_2eOwlqiVks8fe87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36","R_24B2wVOtJViQEU0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37","R_yyDjyxeXZnbzwml","Küzdelem ","Nehézség ","Fejtörés","Erőfeszítés ","Verseny ","semleges","negatív","inkább negatív","inkább negatív","semleges","Bánat ","Csalódottság","Próbálkozás ","Lehetőség ","Feladás ","negatív","negatív","inkább pozitív","pozitív","negatív","rossz ","negatív ","Nem tetszés ","Véleményezés ","Építő jelleg ","negatív","negatív","negatív","semleges","pozitív"
"38","R_3iR1SNO2uDd21iR","erő","önbizalom","akaraterő","izgalom","várakozás","pozitív","pozitív","pozitív","semleges","semleges","szomorúság","félelem","önbecsülés","erő","következmény","negatív","negatív","negatív","semleges","semleges","fájó","hasznos","érdekes","elgondolkodtató","szükséges","negatív","pozitív","semleges","semleges","semleges"
"39","R_2CNccxxqJtfAhbQ","Nehézség ","Kitartás ","Sikerélmény ","Kudarc","Élet ","inkább pozitív","pozitív","pozitív","negatív","inkább pozitív","Elbizonytalanodás ","Szomorúság ","Újraprobalkozas","Feladás ","Kihívás ","inkább negatív","negatív","inkább pozitív","negatív","inkább pozitív","Konstruktív ","Ítélkező ","Segítség ","Rosszindulatú ","Fejlődés ","pozitív","negatív","pozitív","negatív","pozitív"
"40","R_UzI87zpnvRgbFLj","Fejlődés ","Nehézség ","Újdonság ","Megmèrettetès ","Párbaj ","pozitív","semleges","inkább pozitív","inkább pozitív","semleges","Csalódás ","Új esély ","Bűntudat ","Hiba","Bukás ","negatív","inkább pozitív","inkább negatív","negatív","negatív","Tanács ","Megvetés ","Visszajelzés ","Vélemény ","Sértés ","pozitív","negatív","inkább pozitív","inkább pozitív","negatív"
"41","R_1C3Ld5yONjEg2d8","Cél ","Munka ","Energia ","Eltökéltség ","Megoldás ","inkább pozitív","inkább pozitív","pozitív","pozitív","pozitív","Fájdalom ","Csalódás ","Önképzavar ","Vesztes ","Bukás ","semleges","negatív","negatív","negatív","negatív","Őszinte ","Megbotránkoztató","Építő ","Jellegzetes ","Profi","pozitív","inkább negatív","pozitív","pozitív","pozitív"
"42","R_5sU9Sb0R1NVTkiZ","Munka","Gondolkodás","Eredmény","Mérce","Siker","semleges","inkább pozitív","pozitív","semleges","pozitív","Csalódás","Sikertelenség","Tanulság","Rossz","Próba","inkább negatív","negatív","inkább pozitív","negatív","semleges","Pozitív","Negatív","Építő","Romboló","Csúfolódás","pozitív","negatív","pozitív","negatív","negatív"
"43","R_pzvoaCfSH8JXvxL","Bizonyítás","Élmény","Nehézség","Versengés","Feladat","pozitív","pozitív","inkább negatív","inkább pozitív","inkább pozitív","Feladás","Csalódás","Elkeseredés","Szomorú","Fájdalom","inkább negatív","inkább negatív","negatív","negatív","negatív","Tanár","Filmkritika","Cinikus megjegyzés","Intelligencia","Negatívum","semleges","inkább pozitív","negatív","pozitív","negatív"
"44","R_3GenHotQseHtlUW","Pozitivitas","Kreativitas","Új dolgok","Motiváció","Siker","pozitív","pozitív","inkább pozitív","inkább pozitív","pozitív","Sikertelenség ","Bukás ","Könny ","Megbízhatatlansag","Szomorúság ","negatív","negatív","inkább negatív","negatív","negatív","Negatív ","Pozitív ","Építő jellegű ","Gonoszság ","Irigység ","negatív","pozitív","pozitív","negatív","negatív"
"45","R_ULmVZGTDPB0BSRX","Elszántság","Kitartás","Tapasztalat","Idő","Küzdeni","pozitív","pozitív","pozitív","semleges","inkább pozitív","Vizsga","Újrakezdés ","Sírás","Erő","Próbálkozni","inkább negatív","pozitív","negatív","pozitív","inkább pozitív","Negatív ","Pozitiv","Tehetség","Művészet","Befolyásolás","negatív","pozitív","semleges","semleges","inkább negatív"
"46","R_3iKft8jlYh9SF00","Utazás","Megfelelés","Aláírás","Jövedelem","Célok","pozitív","inkább pozitív","negatív","inkább pozitív","pozitív","Gimnázium","Fejlődés","Állategészségtan ","Állatélettan","Sport","inkább negatív","inkább pozitív","negatív","negatív","semleges","Párkapcsolat","Család","Barátok","Idegenek ","Önmagam","pozitív","inkább pozitív","semleges","negatív","inkább pozitív"
"47","R_1JLtYi6U5kFRYtt","cél","kitartás","élmény","pozitivitás","erö","pozitív","pozitív","semleges","pozitív","pozitív","szomorúság","tanulság","erö","elesettség","újrakezdés","negatív","inkább pozitív","semleges","negatív","pozitív","megfelelés","sztereotípia","kényszer","vélemény","változás","inkább negatív","inkább negatív","negatív","semleges","semleges"
"48","R_SZay56fb5ld56uZ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49","R_vrFgx9pk3tX4DFD","tanulás","cél","erőfeszítés","eredmény","kitartás","inkább pozitív","inkább pozitív","semleges","pozitív","pozitív","verseny","szomorú","csalódás","remény","céltudat","semleges","negatív","negatív","inkább pozitív","pozitív","vélemény","kritizálás","dícséret","romboló","építő","semleges","negatív","pozitív","negatív","pozitív"
"50","R_sBxX9GXIiJZfI1X","Feladat","Erőpróba","Cél","Motiváció","Fejlődés","inkább pozitív","pozitív","pozitív","pozitív","pozitív","Sikertelenség","Elbukás","Vesztés ","Feladás","Gyemgeség","negatív","negatív","inkább negatív","negatív","inkább negatív","Vélemény","Észrevételek","Benyomás","Megítélés ","Bírálat ","semleges","semleges","semleges","semleges","semleges"
"51","R_2tnHCzAhpdHLypf","Feladat","Kitartás","Siker","Próbálkozás","Izgalom","semleges","pozitív","pozitív","semleges","inkább pozitív","Sikertelenség","Bukás","Szomorúság","Fájdalom","Csalódottság","negatív","negatív","negatív","negatív","negatív","Hiba","Javítás","Építő","Kéretlen","Munka","negatív","inkább pozitív","pozitív","negatív","semleges"
"52","R_3iVbvlkNkdbfnmR","","","","","","","","","","","Bukta","Egyes","A kudarc az egy esemény ","Rosszullét ","Levertseg","negatív","negatív","semleges","negatív","negatív","","","","","","","","","",""
"53","R_3CHnFeBAEQtL79c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54","R_2dMAFPx0J0Tl2A3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55","R_4JE2ELrJNCwH6M1","Egyetem","Kollegium","Tanulas","Bionika","Oktatok ","inkább negatív","semleges","inkább negatív","negatív","inkább negatív","","","","","","","","","","","","","","","","","","","",""
"56","R_1pT1nIe070BhRSh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57","R_3CNKEqhmSTZFV8q","","","","","","","","","","","","","","","","","","","","","nehéz","fáj","düh","sok","rossz","negatív","negatív","negatív","negatív","negatív"
"58","R_2v35TsMipx04xpV","h","h","h","h","h","semleges","semleges","semleges","semleges","semleges","p","r","o","b","a","negatív","inkább negatív","semleges","inkább negatív","semleges","ez","K","a","t","a","negatív","inkább negatív","semleges","semleges","inkább pozitív"
"59","R_1Ec9RrMQuFUd0zI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","R_2E4pLLAxPrWJMZl","","","","","","","","","","","depresszió","elbukás","szomorúság","sikertelenség","új esély","negatív","negatív","negatív","negatív","pozitív","vélemény","tanács ","építő","megalázó","segítség ","semleges","inkább pozitív","pozitív","negatív","pozitív"
"61","R_2D6Rw6wm8nGNC4c","","","","","","","","","","","Bukás ","Bűntudat","Kritika","Blokk","Sokk","negatív","negatív","negatív","negatív","negatív","Társadalom ","Negatív ","Film","Benyomás ","Újság ","semleges","negatív","inkább negatív","semleges","inkább negatív"
"62","R_50bhHutD64kT1uh","nehézség","újdonság","fejlődés","érdekesség","munka","inkább negatív","inkább pozitív","pozitív","inkább pozitív","semleges","","","","","","","","","","","","","","","","","","","",""
"63","R_3fpZ0cMiQN8ShPq","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64","R_1NkzxG2uRszUUxo","","","","","","","","","","","Kerülés","Zavar","Zuhanás","Felállás","Siker","inkább negatív","inkább negatív","negatív","pozitív","pozitív","Vélemény","Írás","Lehetőség","Lecsó","Gondolkodás","semleges","inkább pozitív","pozitív","pozitív","pozitív"
"65","R_3t6RL1IDohA6r6h","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"66","R_3qwkMIojUTKdkls","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67","R_5nL4Q3N25Y4zoBz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68","R_ApxFQYdes0M9zl7","Lehetőség","Képesség","Feladás","Probléma","Megoldás","pozitív","pozitív","negatív","semleges","semleges","Fájdalom","Letörtség","Kedvtelen","Bukás","Nehézség","inkább negatív","negatív","inkább negatív","negatív","semleges","Negatív","Őszinteség","Pozitív","Változtatás","Hiba","negatív","pozitív","pozitív","inkább pozitív","semleges"
"69","R_1d1cEGj0aeUVX84","Verseny","Kudarc","Siker","Erő","Hegy","inkább pozitív","inkább pozitív","inkább pozitív","inkább pozitív","inkább pozitív","Bukás","Szomorúság","Negatív","Motivációvesztés","Félelem","negatív","negatív","negatív","negatív","negatív","Negatív","Vélemény","Fejlesztés","Lenézés","Félelem","negatív","semleges","","inkább negatív","negatív"
"70","R_1lt0pG3QeLdydtN","feladat","teljesítmény","siker","megmérettetés","stressz","inkább pozitív","inkább pozitív","pozitív","semleges","negatív","bukás","hiba","sikertelenség","bánat","tapasztalat","negatív","semleges","inkább negatív","semleges","pozitív","hiba","hiányosság","sértés","javítási lehetőség","elvárás","negatív","semleges","negatív","pozitív","semleges"
"71","R_1fjjaaZyQrlV2Sc","Challenge","Versenyzés","Ellenfelek","Feladat","Nehéz","inkább pozitív","inkább negatív","inkább negatív","inkább pozitív","inkább negatív","Fájdalom","Sikertelenség ","Csalódottság ","Elesés","Újrakezdés","negatív","negatív","negatív","inkább negatív","inkább pozitív","Vélemény","Építő jelleg","Féltékenység","Irigység ","Tanulni belőle","semleges","inkább pozitív","inkább negatív","negatív","inkább pozitív"
"72","R_1M3pZjAeVckAXLO","Nehezseg","Feladat","Munka","Élmény","Akarat","semleges","semleges","semleges","semleges","semleges","Fajdalom","Erő","Csalodás","Akarás","Probalkozas","semleges","semleges","semleges","semleges","semleges","Építő","Rossz","Jó","Munka","Feladat","semleges","semleges","semleges","semleges","semleges"
"73","R_3k7DWAzo8AvSO8X","Akadályok","Új lehetőség","Megugrás","Harc","Küzdelem","semleges","inkább pozitív","inkább pozitív","inkább negatív","semleges","Sikertelenseg","Csalódottság ","Vesztes ","Új esély ","Törés ","negatív","inkább negatív","negatív","inkább pozitív","inkább negatív","Fejlődés ","Vélemény ","Határozottság ","Negatív ","Becsmérlés","pozitív","semleges","inkább pozitív","negatív","inkább negatív"
"74","R_3EhUeyrX4HrvyXG","tanulás","idő","nehézség","újdonság","elfoglalt","inkább pozitív","inkább negatív","inkább negatív","inkább pozitív","negatív","sikertelenség","elégtelen","szomorúság","bűntudat ","stressz","negatív","negatív","negatív","negatív","negatív","dícséret","szidalmazás","ösztönzés","javítás","fejlesztés","pozitív","negatív","pozitív","pozitív","pozitív"
