"","id","challenge_1","challenge_2","challenge_3","challenge_4","challenge_5","att_challenge_1","att_challenge_2","att_challenge_3","att_challenge_4","att_challenge_5","failure_1","failure_2","failure_3","failure_4","failure_5","att_failure_1","att_failure_2","att_failure_3","att_failure_4","att_failure_5","criticism_1","criticism_2","criticism_3","criticism_4","criticism_5","att_criticism_1","att_criticism_2","att_criticism_3","att_criticism_4","att_criticism_5"
"75","R_QoVSyL4bn6N6bo5","Munka","Videojáték","Élet","Házasság","Egzisztencia","inkább negatív","inkább pozitív","semleges","inkább negatív","inkább negatív","Munka","Házasság","Barátok","Videojáték","Sport","negatív","negatív","semleges","inkább negatív","inkább negatív","Barátok","Munkahely","Társadalom","Család","Filmek","inkább negatív","inkább pozitív","negatív","inkább pozitív","inkább pozitív"
"76","R_2eaqoE8JsbR2Kwk","Erősít ","Lehetőség ","Uj perspektíva ","Kétélű penge ","Pozitív ","inkább pozitív","pozitív","inkább pozitív","semleges","pozitív","Félelem ","Lehetőség ","Nézőpont kérdése ","Mások véleménye","Elkerulendo","inkább negatív","pozitív","semleges","inkább negatív","inkább pozitív","Konstruktív ","Asszertiv","Fejlesztő","Jobbnak lenni","Jóindulatú ","inkább pozitív","inkább pozitív","inkább pozitív","inkább pozitív","inkább pozitív"
"77","R_25sfs8AvoNRxz4I","Verseny","Nehéz","Mosoly","Csapat","Jövő","semleges","inkább negatív","inkább pozitív","inkább pozitív","semleges","Sírás","Szomorú","Sötét","Összeomlás","Vigasztalás","semleges","inkább negatív","inkább negatív","negatív","inkább pozitív","Negatív","Tudományos","Újság","Férfi","Akadály","inkább negatív","inkább pozitív","pozitív","inkább pozitív","inkább negatív"
"78","R_3qkEqppOHj1S2Hu","büszkeség","nehéz","próba","bizonyítás","haladás","pozitív","inkább pozitív","inkább pozitív","inkább pozitív","pozitív","vereség","szégyen","béna","gyenge","keményebben","negatív","negatív","negatív","negatív","pozitív","fáj","tanulás","makacs","fejlődés","haladás","negatív","inkább pozitív","inkább negatív","pozitív","pozitív"
"79","R_29vmx3qPjV0xKHT","verseny","izgalom","próba","nemmindenapi","újdonság","semleges","inkább pozitív","semleges","inkább pozitív","inkább pozitív","próba","csalódás","fájdalom","kellemetlen","új","semleges","inkább negatív","inkább negatív","inkább negatív","inkább pozitív","próba","rossz","jó","igyekvés","tűrés","inkább pozitív","inkább negatív","inkább pozitív","inkább pozitív","inkább pozitív"
"80","R_2uVyGRXcde4kUXD","Elbukás","Szenvedés","Pánikroham","Rosszullét","Sírás","negatív","negatív","negatív","negatív","negatív","Élet","Sírás","Ágy","Stressz","Önnizalomhiány","semleges","","pozitív","negatív","negatív","Fájdalom","Önbizalomesés","Emlékeztető","Elkeseredettség","Önutálat","negatív","negatív","inkább pozitív","inkább negatív","negatív"
"81","R_RDlTXYEy3FXOKwF","Lehetőség","Siker","Újdonság","Ismeretlen","Megpróbáltatás","pozitív","pozitív","semleges","inkább negatív","inkább pozitív","Hiba","Újrakezdés","Sikertelenség","Próbálkozás","Sikertelenség","inkább negatív","pozitív","negatív","inkább pozitív","negatív","Építő","Bátorító","Negatív","Pozitív ","Hiba","pozitív","pozitív","negatív","pozitív","inkább negatív"
"82","R_3EhuJ12vxHdbr17","nehéz","rewarding","kimozdít","szorongás","fejlődés","inkább negatív","pozitív","inkább pozitív","negatív","pozitív","szégyen","felállni","szükséges","siker","iskola","negatív","pozitív","semleges","pozitív","negatív","negatív","építő","nehéz","kell","jég","negatív","pozitív","inkább negatív","semleges","inkább negatív"
"83","R_3Le8LEaVdI0CLla","Sport","Kűzdelem ","Verseny ","Siker ","Önismeret ","semleges","inkább pozitív","pozitív","pozitív","pozitív","Fiaskó","Fájdalom ","Motiváció","Bizonyítás ","Siker ","inkább negatív","inkább negatív","inkább pozitív","inkább pozitív","pozitív","Bírálat ","Hírnév ","Önbecsülés ","Szabadság","Szégyen ","inkább negatív","semleges","inkább pozitív","inkább pozitív","inkább negatív"
"84","R_1NxJjoejI5xBoAl","Feladat","Erő","Kitartás","Kreativitás","Idő","semleges","pozitív","pozitív","pozitív","inkább negatív","Stressz","Félelem","Szorongás","Megalázottság","Lehetőség","negatív","negatív","negatív","negatív","inkább pozitív","Negatív","Könyv","Kultúra","Vélemény","Írás","negatív","semleges","pozitív","inkább pozitív","semleges"
"85","R_RVtPXFW2B7gXCdr","eredmény","Nehézség","Fejlődés","Kudarc","Elszántság","pozitív","inkább negatív","pozitív","negatív","pozitív","Veszteség","Szégyen","Veszíteni","Nagyobb erőfeszítés","Más megközelités","negatív","negatív","inkább negatív","inkább pozitív","inkább pozitív","Sértettség","Fejlődés","Javítás","Haladás","Koncentrálás","negatív","pozitív","pozitív","pozitív","inkább pozitív"
"86","R_1FzIIsoRTFQjNI3","Doga","Vizsga","Élet","Munka","Szerelem","inkább negatív","negatív","inkább pozitív","semleges","inkább pozitív","Megalázás","Hiba","Szégyen","Félelem","Bukás","negatív","inkább negatív","negatív","negatív","negatív","Építő","Ítélkezés","Film","Család","Kritikus","pozitív","negatív","inkább pozitív","inkább pozitív","semleges"
"87","R_1r6Xz9tAgK34YRF","versengés","törekvés","teljesítés","versenyszellem","maximalizmus","inkább pozitív","inkább pozitív","pozitív","inkább pozitív","pozitív","csalódottság","elkeseredés","felállás","tanulás","fejlődés","negatív","negatív","inkább pozitív","inkább pozitív","inkább pozitív","negatívum","pozitívum","sértődöttség","támadás","fejlődés","negatív","pozitív","inkább negatív","negatív","inkább pozitív"
"88","R_xEJigJPnJykAeat","nehéz","Erő","Akadály ","Próba ","Előrelépés ","semleges","pozitív","semleges","inkább pozitív","pozitív","sajnálat ","Próbálkozás ","Újrakezdés ","Tanulás ","Teljesítmény ","negatív","pozitív","semleges","pozitív","pozitív","előítélet","Igazság","Meggondolatlanság","Példa","Segítség","negatív","pozitív","negatív","pozitív","pozitív"
"89","R_2V2u3OATbRSSfuc","túlélni","megmaradni","anal1","algo1","jocó","inkább negatív","inkább negatív","pozitív","pozitív","pozitív","mosi","ikhök","életem","félév","jocó","negatív","negatív","negatív","semleges","pozitív","orbán","hök","puzsér","hazugság","kampány","negatív","semleges","semleges","negatív","inkább negatív"
"90","R_3KvK4hjraL0xsXH","Nehéz ","Lehetőség ","Alkalmas ","Motiváció ","Erőfeszítés ","negatív","inkább pozitív","inkább pozitív","pozitív","pozitív","Csalódás","Alkalmatlan ","Szomorú ","Eredménytelen ","Sikertelen ","negatív","negatív","negatív","negatív","negatív","Hiba","Megalázás","Probléma ","Segítség ","Kötekedés","negatív","negatív","inkább negatív","pozitív","negatív"
"91","R_1exhdkOZxtd4Yy9","Tanulmány","Teljesítési vágy","Sport","Erőfeszítés","Cél","inkább pozitív","inkább pozitív","inkább pozitív","inkább negatív","pozitív","Szomorúság","Csalódás","Erő","Tanulni belőle","Pozitivan látni","negatív","negatív","inkább pozitív","pozitív","pozitív","Építő jelleg","Megalázás","Teljesítmény","Munka","Vélemény","pozitív","negatív","semleges","semleges","semleges"
"92","R_d4iMZm7cUa8cam5","lehetőség","cél","kudarc","akarat","szorgalom","inkább pozitív","semleges","negatív","inkább pozitív","inkább pozitív","vereség","talpraállás","javítás","siker","stressz","negatív","pozitív","inkább pozitív","pozitív","negatív","vélemény","segítség","fejlődés","jóindulat","jellemzés","semleges","inkább pozitív","pozitív","pozitív","semleges"
"93","R_30pWNmHrAu6nqPt","Rajz","Labor","Alkotni","Sport","Torta","pozitív","inkább pozitív","pozitív","inkább pozitív","pozitív","Szomorú","Papír","Könny","Fej","Szülők","negatív","semleges","negatív","semleges","inkább negatív","Kesztyű","Mosogató","Szülők","Tanár","Főzés","semleges","inkább negatív","inkább negatív","inkább negatív","inkább negatív"
"94","R_1QaNs2r1PYKI7Hm","Mindennapok","Egyetem ","Munka ","Időbeosztás","Pénzszerzés","pozitív","semleges","semleges","semleges","semleges","Fejlesztő ","Fájdalmas ","Gyakran előfordul","Újabb kihívás","Elkeserítő","inkább negatív","negatív","semleges","pozitív","negatív","Vélemény ","Fejlődés ","Sértő ","Hasznos ","Több nézőpont","inkább pozitív","pozitív","negatív","pozitív","pozitív"
"95","R_1qV66YUSeqQiX34","Siker","Küzdés","Nehézség","Erő","Boldogság","pozitív","pozitív","semleges","pozitív","pozitív","Szereplés","Társas interakciók","Időbeosztás","Félelem","Szorongás","negatív","negatív","inkább negatív","negatív","negatív","Pozitív","Negatív","Bántó","Teljesítés","Fejlődés","pozitív","negatív","negatív","inkább pozitív","pozitív"
"96","R_26nKPIrh0BjNrm8","Nehéz","Megéri","Fejlődés","Bátorság","Eredmény","inkább pozitív","pozitív","pozitív","inkább pozitív","pozitív","Fájdalom","Nehézség","Krízis","Fejlődés","Előrelépés","negatív","negatív","negatív","pozitív","pozitív","Építő","Nyomás","Fájdalmas","Nehéz","Fejlődés","inkább pozitív","negatív","inkább negatív","inkább negatív","pozitív"
"97","R_1dHyubA6YmVKvy6","építő","nehézség","élet","kitartás","verseny","pozitív","inkább pozitív","pozitív","pozitív","inkább pozitív","rossz","negatív","építő","nehézség","változtatás","inkább negatív","negatív","pozitív","inkább pozitív","inkább pozitív","pozitív","negatív","építő","romboló","baráti","pozitív","negatív","pozitív","negatív","pozitív"
"98","R_3fOgWrb1pmwgjxy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99","R_2XcHskbxtBoMZRr","Kaland","Élmény","Tudás","Próbatétel","Siker","inkább pozitív","inkább pozitív","pozitív","inkább negatív","pozitív","Veszteség","Csalódás","Kiábrándulás","Bűntudat","Bizonyítási vágy","negatív","negatív","negatív","negatív","pozitív","Bántás","Félelem","Kötekedés","Tanulás","Értékelés","negatív","negatív","negatív","inkább pozitív","inkább pozitív"
"100","R_3oFkNhKZcGjIKa3","","","","","","","","","","","","","","","","","","","","","újság","film","tv","jó","rossz","negatív","inkább pozitív","inkább pozitív","pozitív","negatív"
"101","R_1GTwLikTcgPk4A4","Életem","Siker","Szeretem","Bizonyiték","Sok","inkább pozitív","pozitív","pozitív","pozitív","inkább negatív","Félek","Megbánás","Újrakezdés","Szégyen","Édesapám","negatív","negatív","inkább pozitív","negatív","inkább negatív","Irodalom","Írás","Én","Mások","Építő","pozitív","pozitív","semleges","inkább negatív","pozitív"
"102","R_4OtaVcBSPBb4X3b","Próba ","Eredmény ","Lehetőség ","Megoldás ","Életesemény ","negatív","inkább pozitív","inkább pozitív","inkább pozitív","pozitív","Bánat","Csalódás ","Szomorúság ","Csőd ","Hiba","negatív","negatív","negatív","negatív","negatív","Probléma ","Tulajdonság ","Hibázás","Vélemény ","Építkezés ","negatív","negatív","negatív","inkább pozitív","pozitív"
"103","R_1ooStqKHDf8gSMR","feladat","siker","gondolkodás","folyamat","bizonyítási lehetőség","pozitív","pozitív","semleges","semleges","inkább pozitív","sikertelenség","bizonytalanság","motivációvesztés","sajnálat","szánalom","negatív","inkább negatív","inkább negatív","inkább negatív","negatív","motiváció","önbecsülés","énkép","értékek","bosszúvágy","pozitív","pozitív","pozitív","pozitív","negatív"
"104","R_2wTTQ3UE56ptQec","gyerekek","új feladat","szembeszegülés","egyetem","óvoda","pozitív","pozitív","inkább negatív","pozitív","pozitív","verseny","szigor","mentor","anatómia","közlekedés","inkább negatív","negatív","negatív","semleges","inkább pozitív","egyetem","tanárok","apa","szemléletváltás","segítés","inkább pozitív","semleges","pozitív","pozitív","pozitív"
"105","R_33ByiN42mEMc5b6","Probléma","Nehéz","Megoldás","Próbálkozás","Siker","semleges","semleges","inkább pozitív","semleges","pozitív","Csalódás","Kellemetlen","Feladás","Társaság","Szomorúság","inkább negatív","inkább negatív","negatív","inkább negatív","negatív","Vélemény","Negatív","Építő jellegű","Értékelés","Érzések","semleges","negatív","pozitív","semleges","semleges"
"106","R_1fcQebbsGmsV3tq","Cél","Teljesítmény","Erő","Akarat ","Siker ","inkább pozitív","inkább pozitív","semleges","inkább pozitív","pozitív","Vesztes","Bánat ","Próbálkozás ","Tanulás ","Tapasztalat ","negatív","negatív","inkább pozitív","semleges","pozitív","Segítség","Megbántás","Szigorú ","Vélemény ","Elfogadás ","pozitív","negatív","inkább negatív","semleges","pozitív"
"107","R_2EhFK6qhihu9H3e","motiváció","cél","feladat","korlátok","határok","pozitív","pozitív","semleges","inkább pozitív","inkább pozitív","hiba","hibakeresés","motiváció","újult erő","feladat","semleges","inkább pozitív","pozitív","pozitív","inkább pozitív","vélemény","pozitív","negatív","fájdalom","igazságtalanság","inkább pozitív","pozitív","inkább pozitív","negatív","negatív"
"108","R_2v0yCCT7iEbJBZh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"109","R_1NqpbJSGSRA8AXh","Küzdelem","Feladat","Izgalom","Nehézség","Harc","pozitív","semleges","pozitív","inkább negatív","inkább pozitív","Bukás","Újrakezdés","Szomorúság","Fájdalom","Tanulság","negatív","inkább pozitív","negatív","negatív","pozitív","Építő","Segítség","Értékelés","Rossz","Vélemény","pozitív","pozitív","inkább pozitív","negatív","semleges"
"110","R_2sSdJ9TULHPUXsu","Új szituáció ","Erőfeszítés ","Új ","Tudás invesztálás","Próba ","","pozitív","inkább pozitív","pozitív","inkább pozitív","Sikertelenség ","Jobban kell próbálkozni ","Pofara esés ","Tudatlanság ","Tapasztalatlanság","negatív","pozitív","negatív","inkább negatív","semleges","Visszajelzés ","Szeretettel","Előremutató ","Pozitív v negatív ","Tudás átadás ","inkább pozitív","pozitív","inkább pozitív","semleges","pozitív"
"111","R_33srJP19tH8WgpQ","erő","nehézség","akadály","motiváció","nekifutás","pozitív","inkább pozitív","inkább pozitív","pozitív","pozitív","felállni","újrapróbálni","tough","megcsinálom","tanulságos","inkább pozitív","pozitív","inkább pozitív","pozitív","inkább pozitív","változtatni","változni","átgondolni","megpróbálni","stop","pozitív","pozitív","pozitív","pozitív","inkább pozitív"
"112","R_1hyaPgeHJjyyUrr","Ambició","Erő","Félelem","Megmozgat","Ijesztő","pozitív","inkább pozitív","inkább negatív","inkább pozitív","negatív","Csalódás","Szomorúság","Keserű","Félelem","Fekete","negatív","negatív","negatív","inkább negatív","negatív","Építő","Bántó","Kötekedő","Ijesztő","Félelmetes","inkább pozitív","inkább negatív","inkább negatív","negatív","negatív"
"113","R_0UMs9bPcFSUIzdf","Ügyesség","Edzés","Intelligencia","Tanulás","Élet","inkább pozitív","pozitív","pozitív","inkább pozitív","inkább pozitív","Harc","Vereség","Küzdelem","Megpróbáltatás","Stressz","semleges","inkább negatív","inkább pozitív","inkább pozitív","negatív","Média","Politika","Újság","Civil","Film","semleges","inkább negatív","semleges","pozitív","pozitív"
"114","R_3FOJy0uRRE5bsY3","kaland","nehéz","munka","gürcölés","feladat","inkább pozitív","inkább negatív","negatív","negatív","semleges","veszteség","szégyen","megpróbáltatás","reményvesztettség","bizalomvesztés","negatív","negatív","negatív","negatív","negatív","építő","romboló","szégyen","fejlődés","rosszindulat","inkább pozitív","negatív","negatív","inkább pozitív","negatív"
"115","R_2OJhYe0IxQjI9lH","motiváció","fejlődés","siker","stressz","támogatás","pozitív","pozitív","pozitív","inkább negatív","inkább pozitív","megfutamodás","szégyen","harag","könnyek","vigasz","inkább negatív","negatív","inkább negatív","inkább negatív","inkább pozitív","építő","rosszindulatú","makacsság","változás","önbizalom","inkább pozitív","inkább negatív","inkább pozitív","semleges","inkább pozitív"
"116","R_5tNABeHwNFQrORX","Felkészülés","Teljesítés","Küzdelem","Akaraterő","Nehézség","semleges","inkább pozitív","inkább pozitív","pozitív","semleges","Fájdalom","Bánat","Újrakezdés","tanulás","Siker","negatív","negatív","pozitív","pozitív","pozitív","konstruktív","építő","tanulás","bántás","pontszám","pozitív","pozitív","pozitív","negatív","inkább negatív"
"117","R_1f1vsIQJIAkwIqR","versenyszellem","új lehetőség","stressz","önbizalom","időhiány","inkább pozitív","pozitív","inkább negatív","pozitív","negatív","elvárás","stressz","önbizalomhiány","belső őrlődés","szomorúság","semleges","inkább negatív","negatív","negatív","negatív","elvárás","félelem","jutalom","büszkeség","fejlesztés","semleges","inkább negatív","inkább pozitív","pozitív","pozitív"
"118","R_1P5xp6VqelVz8BQ","motiváció","próbatétel","megmérkőzés","verseny","teljesítés","pozitív","pozitív","inkább pozitív","inkább pozitív","pozitív","vereség","félelem","bukás","sikertelenség","csőd","negatív","negatív","negatív","negatív","negatív","pozitív kritika","negatív kritika","segítőszándék","kritizálás","előrelépés","pozitív","negatív","pozitív","negatív","pozitív"
"119","R_12y86f4Vfi5a9u9","Feladat","Újdonság","Megmérettetés","Próba","Tanulás","semleges","inkább pozitív","semleges","semleges","semleges","Csalódás","Vesztes","Bukás","Megszégyenülés","Harag","negatív","negatív","negatív","inkább negatív","negatív","Színház","Film","Mozi","Újság","Negatív","pozitív","pozitív","pozitív","pozitív","negatív"
"120","R_3D0gsuRL8htncEF","Izgalom","Nehézség","Igyekezet","Küzdelem","Komfortzóna","semleges","inkább negatív","inkább pozitív","pozitív","inkább pozitív","Csalódás","Fájdalom","Szomorúság","Nehézség","Hiány","negatív","negatív","inkább negatív","inkább negatív","semleges","Építő","Negatív","Tanulság","Vélemény","Lecke","pozitív","negatív","inkább pozitív","inkább pozitív","pozitív"
"121","R_08rnd1rCRmyKj3H","feladat","kitartás","megpróbáltatás","bizonyítás","akarat","semleges","inkább pozitív","semleges","inkább pozitív","inkább pozitív","harag","bánat","csalódottság","elégedetlenség","szomorúság","negatív","inkább negatív","inkább negatív","inkább negatív","negatív","bíráskodás","visszajelzés","értékelés","minősítés","pontozás","semleges","inkább pozitív","inkább pozitív","semleges","semleges"
"122","R_3HSbixYGgnsrnlf","Hajrá","Gyerünk","Lehetséges","Tehetség","Tett vàgy","pozitív","pozitív","inkább pozitív","pozitív","pozitív","Szégyen","Sikertelenség","Bánat","Bizalmatlanság","Lehetetlen","negatív","negatív","negatív","negatív","inkább pozitív","Jó","Hasznos","Figyelem ","Hagyni","Biztatás","pozitív","pozitív","pozitív","semleges","pozitív"
"123","R_usSrg7fkQsKE8cV","nehéz","győzelem","siker","kitartás","kudarc","semleges","inkább pozitív","pozitív","inkább pozitív","negatív","bukás","újrapróbálkozás","siker","vége","elront","negatív","inkább pozitív","inkább pozitív","semleges","inkább negatív","hiba","negatív","építő","javít","tanács","inkább negatív","negatív","pozitív","inkább pozitív","inkább pozitív"
"124","R_3oXC4Hh5eB5EtTq","feladat","kaland","motiváció","komfortzóna ","tanulság ","semleges","inkább pozitív","pozitív","inkább pozitív","pozitív","bukás","sikertelenség","vesztes ","feladni ","hiba ","inkább negatív","negatív","negatív","negatív","semleges","gondolkodás ","értelmezés","ítélkezés ","építő","látásmód","pozitív","pozitív","inkább negatív","pozitív","semleges"
"125","R_1KlhlMiUOA171zi","Problémás","Lehetőség","Fejlődés","Elakadás","Vállalkozás","inkább negatív","inkább pozitív","pozitív","inkább negatív","semleges","Negatív élmény","Próbálkozás","Sikertelen","Vége","Szomorúság","negatív","semleges","negatív","inkább negatív","negatív","Pozitív","Építő","Visszajelzés","Változó","Rossz","pozitív","pozitív","semleges","semleges",""
"126","R_3dFiCufD5k1qHmG","Teher","Izgalom","Csalódás","Öröm","Jutalom","inkább negatív","inkább pozitív","inkább negatív","pozitív","pozitív","Rossz","Csalódás","Depresszio","Szomorúság","Kín","negatív","negatív","negatív","negatív","negatív","Negatív","Csalódás","Rossz","Fejlődés","Teher","negatív","negatív","negatív","pozitív","negatív"
"127","R_xtL5mt13U1CkvrX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"128","R_20Pzgb6KEB05L5K","Siker","Akadályok","Bátorság","Kitartás","Fejlődés","pozitív","inkább negatív","inkább pozitív","pozitív","pozitív","Sírás","Kitartás","Sikertelenség","Negativitás","Esély","negatív","pozitív","negatív","negatív","inkább pozitív","Társadalom","Újságírás","Zsűri","Vélemény","Építő","semleges","semleges","semleges","semleges","pozitív"
"129","R_NVjmxNReM4jbq6J","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"130","R_31T9Kp7jpCUyBoo","Fizkém","Egyetem","tanulás-meló-élet szentháromság","100%-os teljesítmény","Fáradtság leküzdése","negatív","inkább pozitív","inkább negatív","pozitív","semleges","egyetem","csúszás","szervetlen labor","párkapcsolat","tanulás","negatív","negatív","negatív","negatív","negatív","Őszinteség","Személyiségfejlődés","Fájdalom","Megalázottság","Igaz barátság","pozitív","inkább pozitív","negatív","negatív","inkább pozitív"
"131","R_31yn6lupyIRuRlH","Nehéz","Küzdelem","Kitartás","Feladni","Játék","inkább negatív","inkább pozitív","pozitív","negatív","semleges","Tanulás","Rossz","Csalódás","Újrakezdeni","Élet","inkább pozitív","negatív","negatív","pozitív","pozitív","Düh","Komment","Emberek","Beszéd","Internet","negatív","inkább negatív","semleges","semleges","inkább pozitív"
"132","R_9zQIIg2EHNJ1vuV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"133","R_21aItCikyAGlynJ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"134","R_2c7oE5UCDdPH7wV","Nehéz","Kitartás","Idő","Hit","Önbizalom","inkább negatív","pozitív","inkább negatív","pozitív","pozitív","Miért","Tanulság","Új lehetőség","Elfogadás","Tapasztalat","pozitív","pozitív","pozitív","inkább pozitív","pozitív","Vélemény","Tanár","Jegy","Visszajelzes","Tanulság","inkább negatív","semleges","inkább negatív","semleges","inkább pozitív"
"135","R_6MDPSCNtUgn6rG9","Nehéz","Kudarc","Verseny","Nyereség","Boldogság","inkább negatív","negatív","semleges","pozitív","pozitív","Vizsgaidőszak ","Kukac","Verseny","Veszíteni","Szomorúság","negatív","semleges","semleges","inkább negatív","negatív","Bántó","Negatív","Építő","Segíthet","Elvárás","negatív","negatív","pozitív","pozitív","semleges"
"136","R_T1sslUfEsaxmUP7","kredit","vizsga","siker","kudarc","ösztönzés","semleges","semleges","pozitív","negatív","inkább pozitív","kettes","hiba","bukás","pánik","csalódás","semleges","semleges","negatív","inkább negatív","negatív","önbizalomhiány","tanár","ítélkezés","építőjellegű","gúny","inkább negatív","inkább pozitív","inkább negatív","inkább pozitív","negatív"
"137","R_1jNfDnvtIOtoLRH","esély","ösztönzés","verseny","fejlődés","megmérettetés","pozitív","pozitív","semleges","pozitív","semleges","fájdalom","fáradtság","szorongás","szégyen","félelem","negatív","inkább negatív","negatív","negatív","negatív","fejlődés","lehetőség","vélemény","segítség","értékelés","pozitív","pozitív","semleges","pozitív","semleges"
"138","R_2SGjTw3n9HCT2RU","","","","","","","","","","","vereség","veszteség","bukás","nehézség","utálat","negatív","negatív","negatív","inkább negatív","negatív","segítség","haladás","értékelés","lehetőség","leszólás","inkább pozitív","pozitív","semleges","inkább pozitív","negatív"
"139","R_2zoHCopI0nmknga","motiváció","tettvágy","gyengeség","sikerélmény","verseny","pozitív","inkább pozitív","inkább negatív","pozitív","semleges","szomorúság","csalódottság","motiváció","negatív","fájdalom","negatív","negatív","inkább pozitív","negatív","negatív","művészet","könyv","negatív","pozitív","fejlődés","pozitív","pozitív","inkább negatív","inkább pozitív","pozitív"
