"","id","challenge_1","challenge_2","challenge_3","challenge_4","challenge_5","att_challenge_1","att_challenge_2","att_challenge_3","att_challenge_4","att_challenge_5","criticism_1","criticism_2","criticism_3","criticism_4","criticism_5","att_criticism_1","att_criticism_2","att_criticism_3","att_criticism_4","att_criticism_5","failure_sc_1","failure_sc_2","criticism_sc_1","criticism_sc_2","challenge_sc","iq_ms_1","iq_ms_2","failure_ms_1","failure_ms_2","failure_ms_3","failure_ms_4","criticism_ms_1","criticism_ms_2","criticism_ms_3","criticism_ms_4","challenge_ms_1","challenge_ms_2","challenge_ms_3","challenge_ms_4","ego_res_1","ego_res_2","ego_res_3","ego_res_4","ego_res_5","ego_res_6","ego_res_7","ego_res_8","ego_res_9","ego_res_10","ego_res_11","iqms_avg","crms_avg","chms_avg","fms_avg","fsc_avg","crsc_avg","chall_attitude","crit_attitude","iq_mindset","criticism_mindset","challenge_mindset","failure_mindset","failure_scenario","criticism_scenario","challenge_attitude","criticism_attitude","challenge_scenario"
"1","r_szfrxon0rgrffoj","development","difficulty","bonyolult","komplikalt","edzes",5,2,3,4,4,"development","tamogatas","positive","feedback","eloremutato",5,4,5,4,5,4,2,3,4,1,3,1,6,4,2,3,1,2,2,1,6,4,4,6,6,6,4,5,6,1,3,5,4,4,5,2,1.5,5,3.75,3,3.5,3.6,4.6,-1.97595949962539,-2.54356843574203,0.725547748585778,0.322779158477485,-0.702554652836315,-0.513619024801024,-0.0592296404700251,2.29713143452895,1
"2","r_xomcmrxnjp7rorr","difficulty","task","goal","competition","magabiztossag",2,3,4,3,4,"evaluation","improvement","komment","tanacs","hozzaertes",3,4,3,4,4,5,4,5,4,0,5,5,1,1,2,2,4,4,4,3,2,3,3,3,3,6,4,5,4,3,2,4,5,5,5,5,3.75,2.75,1.5,4.5,4.5,3.2,3.6,0.380464251480665,-0.234149427249897,-2.2341937753902,-2.09806453010365,1.16057370827657,1.03203822740393,-0.604142332794237,0.737948631159805,0
"3","r_2ujt5ayeq2zdhuw","effort","aggodalom","excitement","izgatottsag","jutalom",2,1,4,4,5,"elfogadas","learning","szomorusag","megfeleles","improvement",3,4,1,2,4,4,3,4,3,0,4,3,3,3,4,4,4,3,4,3,3,4,5,4,4,5,5,5,4,3,5,4,4,5,3,3.5,3.5,4,3.5,3.5,3.5,3.2,2.8,-0.797747624072362,-0.490751539304579,-0.589892928736879,0.053796526412914,-0.0815118657986883,-0.513619024801024,-0.604142332794237,-0.509397611535511,0
"4","r_3oapbbq35snpuie","success","performance","buszkeseg","failure","szegyen",5,5,4,1,1,"learning","development","joindulat","rossz akaras","szulok",4,5,4,1,4,3,3,3,4,1,6,5,2,4,4,4,4,4,6,3,6,6,6,5,6,4,5,6,5,3,1,5,2,6,4,5.5,4.25,5.75,3.5,3,3.5,3.2,3.6,0.773201543331674,0.279054796859466,1.71212825657777,0.053796526412914,-0.702554652836315,-0.513619024801024,-0.604142332794237,0.737948631159805,1
"5","r_2cqathxpnsphnte","success","struggle","task","time","stress",4,4,3,4,2,"opinion","malice","constructive","movie","zsuri",4,2,4,3,3,3,4,4,5,1,3,5,4,5,5,4,5,4,4,3,5,5,4,5,4,4,5,5,4,3,2,6,5,4,5,4,4,4.75,4.5,3.5,4.5,3.4,3.2,-0.405010332221353,0.0224526848047847,0.396687579255114,1.1297270546712,-0.0815118657986883,1.03203822740393,-0.331685986632131,0.114275509812148,1
"6","r_2dnnciuyxap2riy","struggle","goal","perseverance","task","life",3,5,4,2,4,"opinion","constructive","oszinte","motivacio","komoly",3,5,4,4,3,3,2,5,5,0,5,5,2,3,3,4,6,3,6,5,4,2,5,5,3,4,5,4,4,3,3,5,2,3,3,5,5,4,3,2.5,5,3.6,3.8,0.380464251480665,1.04886113302351,-0.589892928736879,-0.484168737716228,-1.32359743987394,1.8048668535064,-0.0592296404700251,1.04978519183363,0
"7","r_1inte3nzr7uawsk","struggle","work","development","difficulty","perseverance",4,2,5,1,4,"bad","development","mistake","constructive","improvement",1,5,3,4,3,5,5,4,5,0,4,3,4,3,6,4,6,5,6,6,5,4,5,4,4,4,2,3,5,5,2,5,2,6,5,3.5,5.75,4.5,4.25,5,4.5,3.2,3.2,-0.797747624072362,1.81866746918756,0.0678274099244497,0.860744422606627,1.78161649531419,1.03203822740393,-0.604142332794237,0.114275509812148,0
"8","r_1crjc79zgtwuaod","victory","struggle","willpower","novelty","goal",5,5,5,4,5,"constructive","insulting","tamogatas","help","pain",5,2,5,5,2,4,2,3,3,1,4,2,4,4,4,4,5,4,4,4,5,5,4,5,4,5,3,5,5,3,4,5,5,5,6,3,4.25,4.75,4,3,3,4.8,3.8,-1.19048491592337,0.279054796859466,0.396687579255114,0.591761790542056,-0.702554652836315,-1.2864476509035,1.57550843650261,1.04978519183363,1
"9","r_2awuqdfrqhwcoc9","motivation","performance","osszpontositas","goal","erobefektetes",5,4,4,5,4,"constructive","opinion","korrigalas","tanacs","insulting",5,4,2,4,1,4,5,5,4,1,5,5,1,2,6,6,5,4,6,6,5,5,6,5,5,4,3,5,6,6,5,6,6,6,5,5,5.25,5.25,3.75,4.5,4.5,4.4,3.2,0.380464251480665,1.30546324507819,1.05440791791644,0.322779158477485,1.16057370827657,1.03203822740393,1.0305957441784,0.114275509812148,1
"10","r_e9fz1wfmquawnkx","development","en","szakma","egyediseg","competition",5,5,5,5,5,"development","szkepticizmus","negativitas","ellenfel","jovo",5,2,1,5,5,4,4,5,3,0,5,6,2,2,5,6,3,3,5,5,3,4,6,6,4,2,5,4,4,5,6,4,4,4,4,5.5,4,4.75,3.75,4,4,5,3.6,0.773201543331674,0.0224526848047847,0.396687579255114,0.322779158477485,0.539530921238938,0.259209601301451,1.84796478266472,0.737948631159805,0
"11","r_3g2gstpzucvvmq5","excitement","development","struggle","result","success",5,4,2,4,5,"constructive","negative","opinion","mu","szakember",5,2,3,4,3,5,4,5,5,0,3,3,3,4,6,5,5,3,4,4,5,6,6,6,6,5,6,6,6,3,5,5,4,6,6,3,4,5.75,4.5,4.5,5,4,3.4,-1.19048491592337,0.0224526848047847,1.71212825657777,1.1297270546712,1.16057370827657,1.8048668535064,0.485683051854187,0.426112070485976,0
"12","r_3es3mjwpt15ukoy","difficulty","work","success","megprobaltatas","trying",2,4,5,3,3,"opinion","help","elemzes","evaluation","ismeret",4,5,4,4,3,4,3,3,4,0,5,4,2,1,3,4,4,3,3,4,2,3,5,4,3,2,4,4,4,4,5,5,4,4,3,4.5,3.5,3.5,2.5,3.5,3.5,3.4,4,-0.012273040370344,-0.490751539304579,-1.24761326739821,-1.02213400184537,-0.0815118657986883,-0.513619024801024,-0.331685986632131,1.36162175250746,0
"13","r_3kbm45eknorp76z","difficulty","idoigenyes","megterules","versenyszellem","felhivas",3,2,5,4,3,"igazsag","tudalekossag","feedback","ellenorzes","beszelgetes",3,2,5,3,4,4,3,4,4,1,5,5,1,3,5,3,5,4,4,4,4,5,4,5,5,4,5,6,6,3,4,5,6,4,4,5,4.25,4.5,3,3.5,4,3.4,3.4,0.380464251480665,0.279054796859466,0.0678274099244497,-0.484168737716228,-0.0815118657986883,0.259209601301451,-0.331685986632131,0.426112070485976,1
"14","r_20zgrptplgzmebi","goal","krizis","result","difficulty","uj",3,4,4,2,4,"opinion","development","lehetoseg","szinhaz","onmagam",3,4,5,5,4,4,3,4,4,0,2,2,2,3,5,4,4,4,4,4,4,4,4,4,3,2,2,2,4,3,2,4,2,3,4,2,4,4,3.5,3.5,4,3.4,4.2,-1.97595949962539,0.0224526848047847,-0.589892928736879,0.053796526412914,-0.0815118657986883,0.259209601301451,-0.331685986632131,1.67345831318129,0
"15","r_oxkclm1yim85za5","jovo","epites","lefoglal","aktivitas","learning",4,5,4,4,4,"constructive","elorejutas","oszinte","malice","feltekenyseg",5,5,5,1,1,4,5,3,5,1,6,6,3,6,4,4,6,6,4,6,6,6,6,4,6,2,1,6,6,1,1,4,2,4,6,6,5.5,5.5,4.25,4.5,4,4.2,3.4,1.16593883518268,1.56206535713287,1.38326808724711,0.860744422606627,1.16057370827657,0.259209601301451,0.758139398016293,0.426112070485976,1
"16","r_1dbqfpszlmi0brq","difficulty","merce","elismeres","task","onertekeles",4,2,5,4,5,"positive","negative","help","offense","opinion",5,1,5,1,4,3,4,4,4,0,6,5,2,2,3,3,5,5,5,6,4,5,5,4,2,6,1,4,3,5,5,4,4,4,6,5.5,5.25,4.5,2.5,3.5,4,4,3.2,0.773201543331674,1.30546324507819,0.0678274099244497,-1.02213400184537,-0.0815118657986883,0.259209601301451,0.485683051854187,0.114275509812148,0
"17","r_3pw6zi39j9txxon","difficulty","excitement","ketsegek","orom","csalodottsag",1,4,1,5,1,"constructive","megfeleles","feedback","elegedettseg","csalodottsag",4,2,3,5,1,1,3,4,4,0,4,4,2,2,2,2,4,3,3,3,3,3,3,3,3,5,5,4,4,3,3,4,3,4,4,4,3.25,3,2,2,4,2.4,3,-0.405010332221353,-0.74735365135926,-1.90533360605954,-1.56009926597451,-1.94464022691157,0.259209601301451,-1.69396771744266,-0.197561050861682,0
"18","r_24d6vwaxrbjs5vm","competition","performance","success","perseverance","tovabb",4,4,4,4,3,"mistake","tevedes","development","oszinteseg","kapcsolat",2,2,4,5,3,3,4,4,4,0,2,2,2,2,3,3,4,5,4,4,5,5,4,4,4,5,3,4,4,4,4,5,3,4,4,2,4.25,4.5,2.5,3.5,4,3.8,3.2,-1.97595949962539,0.279054796859466,0.0678274099244497,-1.02213400184537,-0.0815118657986883,0.259209601301451,0.213226705692081,0.114275509812148,0
"19","r_ai1kvgf8lyasgm1","competition","versenyzo","merce","struggle","performance",5,4,4,3,5,"opinion","negative","positive","evaluation","pontozas",3,1,5,4,3,3,4,4,5,1,6,6,3,5,6,4,5,5,5,5,5,6,5,6,5,6,6,5,6,4,3,4,3,3,5,6,5,5.5,4.5,3.5,4.5,4.2,3.2,1.16593883518268,1.04886113302351,1.38326808724711,1.1297270546712,-0.0815118657986883,1.03203822740393,0.758139398016293,0.114275509812148,1
"20","r_2xestszmtqmmfay","solution","folyamat","gondolkodas","success","failure",5,4,4,5,1,"constructive","elfogadas","kudarc","elrontott","visszassag",5,4,1,1,2,3,3,4,4,0,4,4,3,3,4,3,3,4,4,3,4,2,4,4,2,1,1,3,3,5,3,4,3,4,6,4,3.5,3.5,3.25,3,4,3.8,2.6,-0.405010332221353,-0.490751539304579,-1.24761326739821,-0.215186105651657,-0.702554652836315,0.259209601301451,0.213226705692081,-0.821234172209339,0
"21","r_1bymyfupxguwokw","odafigyeles","kemeny munka","stress","faradtsag","sok ido",3,4,1,1,2,"negative","constructive","positive","rossz teljesitmeny","hianyos",1,4,5,1,2,3,5,4,3,0,2,3,2,1,3,2,2,2,3,2,3,3,3,3,3,2,1,2,1,1,3,4,1,4,3,2.5,2.25,3,2,4,3.5,2.2,2.6,-1.58322220777438,-1.77376209957799,-1.90533360605954,-1.56009926597451,0.539530921238938,-0.513619024801024,-1.96642406360477,-0.821234172209339,0
"22","r_3dpbjgfa7i0nl0g","boldogit","competition","adrenalin","result","megfelelo",4,4,4,4,5,"movie","pozitiv-negativ","kritikus","opinion","fontos",4,3,3,4,5,4,4,4,3,0,2,2,4,4,4,4,5,4,4,5,4,4,4,5,5,6,5,5,5,3,3,6,5,5,6,2,4.5,4.25,4,4,3.5,4.2,3.8,-1.97595949962539,0.535656908914148,-0.261032759406215,0.591761790542056,0.539530921238938,-0.513619024801024,0.758139398016293,1.04978519183363,0
"23","r_3de2q9vk0zvuhz5","vizsga","difficulty","solution","obstacle","tudas",1,1,5,3,5,"hallgatas","juindulat","constructive","insulting","megoszto",4,5,5,1,3,1,5,1,5,0,6,5,2,3,5,1,5,5,5,5,4,5,5,4,3,5,4,3,3,3,3,5,3,3,5,5.5,5,4.5,2.75,3,3,3,3.6,0.773201543331674,1.04886113302351,0.0678274099244497,-0.753151369780799,-0.702554652836315,-1.2864476509035,-0.876598678956343,0.737948631159805,0
"24","r_scyjlzudn1yssup","power","willpower","orom","akarom","menni fog",4,5,5,5,5,"en","szemelyek","szomorusag","megbantas","eloiteletesseg",3,2,1,2,2,3,4,4,3,1,4,4,3,4,4,4,4,4,4,4,5,4,4,5,4,3,3,3,4,3,3,4,4,4,4,4,4,4.5,3.75,3.5,3.5,4.8,2,-0.405010332221353,0.0224526848047847,0.0678274099244497,0.322779158477485,-0.0815118657986883,-0.513619024801024,1.57550843650261,-1.75674385423083,1
"25","r_31xwpjuwfzxl3mv","erobefektetes","versenyszellem","esz","idozites","ambicio",5,3,5,2,5,"opinion","megbelyegzes","masok","befolyasolas","movie",3,1,3,2,3,1,3,4,4,0,6,6,4,2,6,3,5,4,4,3,3,4,4,4,2,3,1,4,3,2,2,5,3,5,4,6,4,3.75,3.75,2,4,4,2.4,1.16593883518268,0.0224526848047847,-0.918753098067543,0.322779158477485,-1.94464022691157,0.259209601301451,0.485683051854187,-1.13307073288317,0
"26","r_5bew67fgo84hzjt","struggle","goal","motivation","iskola","sport",5,5,5,2,4,"eliteles","szomorusag","depresszio","megalazas","szigor",1,1,1,1,2,4,2,4,3,0,5,5,2,1,2,2,1,1,2,3,4,4,3,3,2,5,2,4,3,3,2,4,3,5,2,5,1.75,3.5,1.75,3,3.5,4.2,1.2,0.380464251480665,-2.28696632368735,-1.24761326739821,-1.82908189803908,-0.702554652836315,-0.513619024801024,0.758139398016293,-3.00409009692614,0
"27","r_27qpok8eryucdax","goal","life","university","gyermekvallalas","victory",5,5,4,4,5,"positive","negative","constructive","oszinte","lehangolo",5,5,4,5,1,3,4,5,4,1,6,4,3,4,5,5,6,5,5,5,4,6,6,5,4,4,4,5,4,5,6,6,5,5,5,5,5.25,5.25,4.25,3.5,4.5,4.6,4,0.380464251480665,1.30546324507819,1.05440791791644,0.860744422606627,-0.0815118657986883,1.03203822740393,1.3030520903405,1.36162175250746,1
"28","r_1itavdjws3kshhr","motivation","opportunity","success","bukas","batorsag",5,4,5,1,4,"constructive","negative","lehetoseg","development","opinion",4,1,4,5,3,4,5,4,5,0,3,3,4,5,5,5,4,5,4,3,4,5,4,3,3,5,2,5,4,3,3,3,5,4,6,3,4,4,4.75,4.5,4.5,3.8,3.4,-1.19048491592337,0.0224526848047847,-0.589892928736879,1.39870968673577,1.16057370827657,1.03203822740393,0.213226705692081,0.426112070485976,0
"29","r_3niofhtfsvbboxv","performance","kepesnek lenni","szenvedes","tulesni rajta","atvagni az akadalyokon",5,5,1,3,5,"constructive","pain","learning","objektiv","evaluation",5,1,5,5,1,3,3,4,4,0,5,5,1,2,3,4,3,3,2,2,5,5,5,3,3,4,6,5,4,2,4,5,1,4,5,5,2.5,4.5,2.5,3,4,3.8,3.4,0.380464251480665,-1.51715998752331,0.0678274099244497,-1.02213400184537,-0.702554652836315,0.259209601301451,0.213226705692081,0.426112070485976,0
"30","r_1fg44s3rbru2578","struggle","success","faradtsag","fear","elakadas",4,5,3,2,1,"felesleges","offense","kelemetlen","elnyomo","folyamatos",3,1,2,2,1,4,4,5,3,0,2,2,1,1,2,1,2,2,2,1,1,4,3,3,3,2,2,2,3,2,3,4,2,4,4,2,1.75,2.75,1.25,4,4,3,1.8,-1.97595949962539,-2.28696632368735,-2.2341937753902,-2.36704716216823,0.539530921238938,0.259209601301451,-0.876598678956343,-2.06858041490465,0
"31","r_3n0hlmxzuwtgsha","success","szerencse","uj dolgok","uj emberek","nyeres",5,5,5,5,5,"negative","positive","igazsag","hazugsag","mas velemenye",1,5,5,1,3,5,3,4,5,1,5,5,2,4,5,2,4,2,5,5,6,5,5,5,4,6,5,6,6,6,5,6,5,5,5,5,4,5.25,3.25,4,4.5,5,3,0.380464251480665,0.0224526848047847,1.05440791791644,-0.215186105651657,0.539530921238938,1.03203822740393,1.84796478266472,-0.197561050861682,1
"32","r_2fjm4mfw0yqcm3b","onfejlesztes","task","development","motivation","victory",5,3,5,5,5,"constructive","development","zsuri","megkuzdes","atertekeles",5,5,3,4,4,4,4,4,4,1,5,5,4,4,5,3,4,5,5,6,5,4,5,5,5,6,3,5,5,3,4,6,2,1,5,5,5,4.75,4,4,4,4.6,4.2,0.380464251480665,1.04886113302351,0.396687579255114,0.591761790542056,0.539530921238938,0.259209601301451,1.3030520903405,1.67345831318129,1
"33","r_3pncl3xogchepqw","task","megvalositando","elmeny","development","performance",3,4,5,5,3,"opinion","constructive","szivbemarkolo","lehuzas","evaluation",5,5,2,1,3,5,1,4,4,1,4,4,3,3,6,5,5,4,6,5,5,5,6,6,4,4,3,4,5,4,4,4,5,5,6,4,5,5.5,4.25,3,4,4,3.2,-0.405010332221353,1.04886113302351,1.38326808724711,0.860744422606627,-0.702554652836315,0.259209601301451,0.485683051854187,0.114275509812148,1
"34","r_3fldidltkz5dynx","targyak","kapcsolat","idobeosztas","donteshozatal","epites",2,3,2,2,4,"evaluation","velemenynyilvanitas","onkritika","judgement","hir",4,5,2,1,4,1,2,4,4,0,6,6,1,1,5,2,2,2,2,2,4,4,5,3,4,5,5,4,5,3,4,5,6,6,4,6,2,4,2.25,1.5,4,2.6,3.2,1.16593883518268,-2.03036421163267,-0.589892928736879,-1.29111663390994,-2.5656830139492,0.259209601301451,-1.42151137128056,0.114275509812148,0
"35","r_3lz8rblqdbekzyt","goal","eszkoz","elore","targy","parbaj",5,3,5,4,3,"biro","review","opinion","szobor","madagaszkar",4,2,5,3,5,4,5,5,4,0,4,1,2,3,5,4,4,3,5,5,5,4,4,5,4,5,6,4,4,5,2,4,4,4,5,2.5,4.25,4.5,3.5,4.5,4.5,4,3.8,-1.58322220777438,0.279054796859466,0.0678274099244497,0.053796526412914,1.16057370827657,1.03203822740393,0.485683051854187,1.04978519183363,0
"36","r_w0chfbidymdefzf","hegymaszas","elszantsag","turelem","power","akaratero",5,5,5,5,5,"rossz erzes","constructive","szigoru ember","showmusor","banto szavak",1,5,3,4,1,4,3,3,4,0,5,5,2,2,4,3,4,4,5,4,4,4,4,5,4,3,2,3,4,1,3,4,3,4,3,5,4.25,4.25,2.75,3.5,3.5,5,2.8,0.380464251480665,0.279054796859466,-0.261032759406215,-0.753151369780799,-0.0815118657986883,-0.513619024801024,1.84796478266472,-0.509397611535511,0
"37","r_2d6n09pgdcv8wev","task","kuldetes","tura","menet","difficulty",3,4,4,3,1,"puzser robert","opinion","negative","rosszallo","szoveg",2,3,1,1,3,4,2,3,2,0,5,3,3,3,4,4,4,3,4,3,3,3,4,3,3,3,3,3,3,4,2,2,3,5,5,4,3.5,3.25,3.5,3,2.5,3,2,-0.405010332221353,-0.490751539304579,-1.57647343672887,0.053796526412914,-0.702554652836315,-2.05927627700598,-0.876598678956343,-1.75674385423083,0
"38","r_3ni2ydtdx8xtis8","obstacle","difficulty","negativ tenyezo","legyozes","opportunity",4,5,1,4,5,"vita","evaluation","elegetlenseg","beszolas","irigyseg",5,3,1,1,1,5,5,4,4,1,6,2,3,4,6,6,4,4,5,3,3,5,5,4,3,4,5,5,3,3,5,6,2,4,2,4,4,4.25,4.75,5,4,3.8,2.2,-0.405010332221353,0.0224526848047847,-0.261032759406215,1.39870968673577,1.78161649531419,0.259209601301451,0.213226705692081,-1.444907293557,1
"39","r_25mefqphw9npgct","competition","trial","development","difficulty","versenyszellem",4,4,4,3,4,"learning","malice","constructive","verseny","tehetseg",4,1,4,4,4,5,2,4,4,0,6,6,1,2,3,3,2,2,4,4,4,5,4,6,5,4,2,3,4,4,5,6,2,4,6,6,3,4.75,2.25,3.5,4,3.8,3.4,1.16593883518268,-1.00395576341394,0.396687579255114,-1.29111663390994,-0.0815118657986883,0.259209601301451,0.213226705692081,0.426112070485976,0
"40","r_bf8wtnrheuzy45r","vizsga","angol","statisztika","szocialpolitika","szegenyseg",1,2,1,3,1,"politika","ujsagiras","szinhaz","evaluation","ellenzek",2,4,5,5,4,4,4,5,4,0,6,6,1,3,6,5,6,5,6,5,5,5,6,6,5,1,4,4,5,5,3,5,5,6,6,6,5.5,5.5,3.75,4,4.5,1.6,4,1.16593883518268,1.56206535713287,1.38326808724711,0.322779158477485,0.539530921238938,1.03203822740393,-2.78379310209109,1.36162175250746,0
"41","r_9skpwerikbifq7n","difficulty","szorgalom","turelem","faradtsag","aldozat",1,4,5,1,4,"constructive","offense","help","bantas","learning",5,1,5,1,3,4,5,3,4,0,5,5,1,3,2,1,2,2,4,2,2,4,3,3,2,4,2,2,4,3,5,5,3,2,1,5,2.5,3,1.75,4.5,3.5,3,3,0.380464251480665,-1.51715998752331,-1.90533360605954,-1.82908189803908,1.16057370827657,-0.513619024801024,-0.876598678956343,-0.197561050861682,0
"42","r_3h9nfgfexvkv35m","task","difficulty","opportunity","trying","success",3,1,4,4,5,"pain","esszeru","constructive","duh","ujsagirok",1,4,4,1,3,3,4,4,3,0,4,4,2,3,4,4,4,4,4,4,4,4,5,5,4,2,4,4,4,2,2,5,4,4,4,4,4,4.5,3.25,3.5,3.5,3.4,2.6,-0.405010332221353,0.0224526848047847,0.0678274099244497,-0.215186105651657,-0.0815118657986883,-0.513619024801024,-0.331685986632131,-0.821234172209339,0
"43","r_sivaxrlzzpqftct","trying","task","felmeres","struggle","vetelkedes",3,3,3,4,4,"elemzes","evaluation","hibajavitas","opinion","feedback",3,3,5,3,3,4,5,3,5,0,6,6,5,5,5,4,6,5,5,6,3,3,4,3,4,5,5,5,4,4,2,5,2,2,4,6,5.5,3.25,4.75,4.5,4,3.4,3.4,1.16593883518268,1.56206535713287,-1.57647343672887,1.39870968673577,1.16057370827657,0.259209601301451,-0.331685986632131,0.426112070485976,0
"44","r_3onjtktzvnvl04z","obstacle","perseverance","effort","goal","fear",2,4,3,5,1,"judgement","opinion","allaspont","ellentet","becsmerel",2,3,3,2,1,4,4,5,4,0,5,5,2,3,5,4,5,4,4,5,3,4,4,5,4,3,3,4,4,3,2,5,4,3,3,5,4.5,4,3.5,4,4.5,3,2.2,0.380464251480665,0.535656908914148,-0.589892928736879,0.053796526412914,0.539530921238938,1.03203822740393,-0.876598678956343,-1.444907293557,0
"45","r_2cbvunxelbx454k","task","willpower","alapos","power","adventure",3,5,5,5,5,"feladat","szigor","negative","oszinte","iras",3,2,1,5,3,1,2,1,5,0,2,2,5,5,6,4,6,5,6,6,5,6,4,5,5,6,5,3,5,4,4,5,5,5,6,2,5.75,5,5,1.5,3,4.6,2.8,-1.97595949962539,1.81866746918756,0.725547748585778,1.66769231880034,-2.5656830139492,-1.2864476509035,1.3030520903405,-0.509397611535511,0
"46","r_usjhahe7px8qqc5","effort","elorelepes","difficulty","szemelyisegfejlodes","munkahely",4,5,1,5,3,"negative","positive","opinion","offense","onbecsules",2,5,4,1,3,1,2,3,4,0,5,6,1,1,3,2,3,1,5,1,5,5,6,5,5,4,5,3,5,6,5,6,2,1,6,5.5,2.5,5.25,1.75,1.5,3.5,3.6,3,0.773201543331674,-1.51715998752331,1.05440791791644,-1.82908189803908,-2.5656830139492,-0.513619024801024,-0.0592296404700251,-0.197561050861682,0
"47","r_1mtndpek93oti08","task","solution","kitatas","difficulty","kepesseg",3,5,4,2,5,"judgement","elfogadhato","gonosz","nyilvanos","hiresseg",1,3,1,2,3,1,4,4,3,0,3,4,2,3,4,2,3,2,5,3,2,5,3,3,2,2,2,5,6,4,3,5,6,4,4,3.5,3.25,3.25,2.75,2.5,3.5,3.8,2,-0.797747624072362,-0.74735365135926,-1.57647343672887,-0.753151369780799,-1.32359743987394,-0.513619024801024,0.213226705692081,-1.75674385423083,0
"48","r_294ytzq6y3bizdr","competition","challange","performance","struggle","result",4,5,5,2,5,"constructive","help","malice","movie","etel",5,5,1,4,4,4,4,3,5,1,3,3,3,5,5,5,4,4,5,5,6,5,5,5,6,4,6,6,6,5,5,6,6,6,5,3,4.5,5.25,4.5,4,4,4.2,3.8,-1.19048491592337,0.535656908914148,1.05440791791644,1.1297270546712,0.539530921238938,0.259209601301451,0.758139398016293,1.04978519183363,1
"49","r_1ciqj3mfg0eqvgc","university","learning","sport","alazat","perseverance",5,5,5,5,5,"thinking","megfeleles","igazsag","hazugsag","bad",4,2,5,1,1,4,3,3,3,0,6,6,3,3,3,5,4,4,4,5,4,4,5,5,4,4,4,3,4,3,1,5,3,5,5,6,4.25,4.5,3.5,3.5,3,5,2.6,1.16593883518268,0.279054796859466,0.0678274099244497,0.053796526412914,-0.0815118657986883,-1.2864476509035,1.84796478266472,-0.821234172209339,0
"50","r_1oin1a8yuydj7pa","task","success","ut","failure","torekves",3,5,3,1,4,"negative","positive","help","feedback","self",1,5,4,4,3,1,3,3,4,0,2,3,2,3,4,3,3,2,3,2,5,4,4,4,5,5,4,4,4,3,2,4,3,4,3,2.5,2.5,4.25,3,2,3.5,3.2,3.4,-1.58322220777438,-1.51715998752331,-0.261032759406215,-0.484168737716228,-1.94464022691157,-0.513619024801024,-0.604142332794237,0.426112070485976,0
"51","r_21hugvoxtmxnbuj","obstacle","trial","parbaj","legyozni","ellenfel",2,3,3,4,2,"kritikus","movie","mufaj","constructive","illet",3,3,3,4,3,5,3,4,4,0,5,5,1,2,5,4,5,4,5,5,4,5,5,5,4,3,4,6,5,5,2,5,6,3,6,5,4.75,4.75,3,4,4,2.8,3.2,0.380464251480665,0.79225902096883,0.396687579255114,-0.484168737716228,0.539530921238938,0.259209601301451,-1.14905502511845,0.114275509812148,0
